Id,Translated Name,,,Requirement,Quote,,Version
20101,Kampferprobter Veteran,,,,,,2021
20102,Hauptmann der Garde,,,,,,2021-S01
20103,"Sandor Clegane, Der Bluthund",,,,„Töten ist das Süßeste der Welt.“,,2021
20104,"Tywin Lennister, Lord von Casterlystein",,,,"„Für jede Arbeit gibt es das richtige Werkzeug, und für jedes Werkzeug die richtige Aufgabe.“",,2021-S03
20105,"Tyrion Lennister, Halbmann",,,,„Das sind tapfere Kerle. Gehen wir und töten wir sie.“,,2021
20106,"Barristan Selmy, Lord Kommandant der Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*","„Nur noch Ser Barristan Selmy ist aus echtem Stahl gemacht, und Selmy ist alt.“ – Varys",,2021
20107,"Jaime Lennister, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*","„… ein Waffenbruder der Weißen Schwerter, und wir wissen alle, was sein Eid wert ist.“ – Varys",,2021-S02
20108,"Mandon Moor, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*",„Der Tod in schneeweißer Seide.“– Tyrion Lennister,,2021
20109,"Meryn Trant, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*","„Einst waren sie der Welt ein leuchtendes, bewundernswertes Vorbild.“ – Bran Stark",,2021
20110,"Arys Eichenherz, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*","„Es gab stets Männer, denen es leichter gefallen ist, ein Gelübde abzulegen, als es einzuhalten.“",,2021
20111,"Boros Blount, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*",„Niemand bedroht Seine Gnaden in Gegenwart der Königsgarde!“,,2021-S01
20112,"Preston Grünfeld, Königsgarde",,,"*Darf nicht in einer Armee aufgestellt werden, die die Einheit Königsgarde enthält.*",„Wer hört allem zu und hört doch nichts?“ „Ein Ritter der Königsgarde.“,,2021
20113,Streiter des Glaubens,,,,,,2021-S02
20114,"Gregor Clegane, Lord Tywins wilder Hund",,,,„Niemand war Gregor je gewachsen.“– Sandor Clegane,,2021
20115,"Jaime Lennister, Der Königsmörder",,,,"Offiziell nannte man ihn den „Löwen von Lennister“, hinter seinem Rücken flüsterte man vom „Königsmörder“.",,2021-S03
20116,"Gregor Clegane, Der Berg",,,,„Kein anderer Ritter des Reiches erfüllt unsere Feinde mit solchem Schrecken.“ – Tywin Lennister,,S04
20117,"Jaime Lennister, Der junge Löwe",,,,„Es gibt keine Menschen wie mich. Es gibt nur mich.“,,2021
20118,"Gregor Clegane, Koloss zu Pferde",,,,"„Der Kopf dieser Bestie wäre ein edles Geschenk für alle Menschen des Reiches, das schwöre ich.“ – Brynden Tully",,2021
20120,"Tyrion Lennister, Der Riese von Lennister",,,,"„Ich denke, er ist ein Riese unter uns, hier am Ende der Welt.“ – Maester Aemon",,2021-S03
20121,"Joffrey Baratheon, Erster seines Namens",,,,"„Mein Sohn. Wie konnte ich einen solchen Sohn in die Welt setzen, Ned?“ – Robert Baratheon",,2021-S02
20123,Vollstrecker der Schildwache,,,,,,2021-S03
20124,Schlächter von Haus Clegane,,,,,,2021-S02
20125,"Der Hohe Spatz, Seine Hohe Heiligkeit",,,,"„Wozu sind wir eigentlich verkommen, wenn Könige und Hohe Lords jetzt schon nach der Pfeife eines Spatzen tanzen müssen.“ – Randyll Tarly",,2021
20126,"Qyburn, Verbotenes Wissen",,,,"„Die Citadel hat mir die Kette genommen,aber mein Wissen mussten sie mir lassen.“",,2021
20127,"Addam Marbrand, Getreuer Bannerträger",,,,"„Gern würde ich die Gelegenheitnutzen, meinen eigenen Stahl gegendiesen jungen Stark zu führen.“",,S04
20128,"Ser Robert Kraft, Der schweigende Riese",,,"*Darf nicht in einer Armee aufgestellt werden, dieGregor Clegane enthält. Darf nur in einer Armeeaufgestellt werden, die Qyburn oder TommenBaratheon, Nächster in der Thronfolge, enthält.*","„Wir wissen nicht einmal, ob er lebt.“– Kevan Lennister",,2021
20129,"Addam Marbrand, Kommandant der Stadtwache",,,,"„Wie Jaime gehörte er zu jener Sorte Männer,denen andere gern folgten.“ – Tyrion Lennister",,2021-S02
20130,"Kevan Lennister, Beschützer des Reiches",,,,"„Es gibt viele wie Euch, gute Männer, die füreine schlechte Sache eintreten …“ – Varys",,S04
20131,Stadttorwache,,,,,,2021
20201,"Robb Stark, Der Wolfslord",,,,"„Alle Männer sollten ihr Wort halten, und Könige ganz besonders.“",,2021-S03
20202,"Großjon Umber, Lord vom letzten Herd",,,,„Grauwind hat ihm zwei Finger abgebissen und er hat darüber gelacht.“ – Robb Stark,,S04
20203,Streiter von Haus Umber,,,,,,2021
20204,Hauptmann der geschworenen Schwerter,,,,,,2021
20205,"Großjon Umber, Grimmiger Vasall",,,,"„Dein Vater hat mir einmal gesagt, der Großjon sei furchtlos wie niemand sonst, dem er je begegnet sei.“ – Catelyn Stark",,2021-S01
20206,"Robb Stark, Der junge Wolf",,,,"„Kein Schwert ist scharf, solange es nicht geschliffen ist.“",,2021
20207,"Bran und Hodor, Schützling und Beschützer",,,,„Hodor. Hodor Hodor.“„Du hast recht. Das könnte Gefährlich werden.“,,2021-S01
20208,"Brynden Tully, Der Schwarzfisch",,,,„Meine erste Regel im Krieg lautet: Erfülle dem Feind niemals seine Wünsche.“,,2021-S02
20209,"Brynden Tully, Unbeugsamer Ritter",,,,"„Macht die Augen auf, und Ihr werdet sehen, dass der Schattenwolf noch immer über unseren Mauern weht.“",,2021
20210,"Eddard Stark, Lord von Winterfell",,,,"„Du musst die Männer kennen, die dir folgen, und sie dich. Verlange von deinen Leuten nicht, für einen Fremden zu sterben.“",,2021
20211,"Rodrik Cassel, Waffenmeister",,,,"„Sprechen wir vom Morgen, können wir nichts als sicher betrachten.“",,2021
20212,Wächter der Pfahlbaumänner,,,,,,2021
20213,"Maegen Mormont, Die Bärin",,,,"„Maegen ist ein grauer, alter Snark, halsstarrig, undgeduldig und eigensinnig.“ – Jeor Mormont",,2021
20214,"Brynden Tully, Invasor der Vorreiter",,,,„Niemand kennt die Länder des Nordens so gut wie Brynden.“,,2021-S02
20215,"Brynden Tully, Befehlshaber der Vorreiter",,,,"„Es ist nicht gut, sein Schwert zu einer Pflugschar umzuschmieden, wenn man es am nächsten Tag wieder neu schmieden muss.“",,2021
20216,"Meera Reet, Gerissene Fallenstellerin",,,,„Schlammmenschen sind Schleicher. Sie kämpfen nicht wie anständige Männer.“ – Kleiner Walder Frey,,2021-S01
20217,"Jojen Reet, Grünseher",,,,"„Winterfell vertrauen wir Grauwasser an. Herd und Herz und Herbsternte bieten wir Euch, Mylord.“",,2021
20218,"Syrio Forel, Der erste Krieger von Braavos",,,"*Darf nur in einer Armee aufgestellt werden, die Eddard Stark oder Arya, Das Wolfsmädchen, enthält.*","„Meine Worte haben gelogen. Meine Augen und meine Arme haben die Wahrheit herausgeschrien, nur hast du nicht hingesehen.“",,2021
20219,"Rickon Stark, Prinz von Winterfell",,,,"„Gehen wir dorthin, wo Struppel ist?“",,2021
20220,"Osha, Speerfrau-Beschützerin",,,"*Darf nur in einer Armee aufgestellt werden, die Rickon Stark enthält, und muss seine Einheit verstärken. Ignoriere die üblichen Verstärkungsbeschränkungen.*","„Die Riesen habe ich gesehen, von den Kindern nur Geschichten gehört und von den Weißen Wanderern …“",,2021
20222,Veteranin von Haus Mormont,,,,,,2021-S02
20223,Überlebenskünstler der Pfahlbaumänner,,,,,,2021
20224,Beschützer von Winterfell,,,,,,2021
20225,"Holand Reet, Lord der Pfahlbaumänner",,,,"„Ihr werdet sie nicht bemerken, aber sie sehen Euch. Wer ihnen in die Sümpfe folgt, verirrt sich und kommt niemals wieder heraus.“ – Walder Frey",,2021
20226,Hauptmann der Loyalisten,,,,,,2021
20227,"Rickard Karstark, Rachsüchtiger Bannerträger",,,,"„Täusch dich nicht, Robb – sie sind deine Gefolgsleute, nicht deine Freunde.“ – Catelyn Stark",,2021
20228,"Rickard Karstark, Lord von Karholt",,,,"„Im Krieg tötet man seine Feinde. Hat Euch Euer Vater das nicht beigebracht, Knabe?“",,2021
20229,"Maegen Mormont, Lady der Bäreninsel",,,,"„Ob es mir gefällt oder nicht: Meine Schwester marschiert in der Armee deines Bruders, sie und ihre Töchter, in Männerrüstungen.“ – Jeor Mormont",,S04
20301,"Tormund Riesentod, Donnerfaust",,,,"„Tormund Riesentod schien mir die Art Mann zu sein, die man gern zum Freund und höchst ungern zum Feind hat.“ – Jon Schnee",,S04
20302,"Tormund Riesentod, Großsprecher, Hornbläser, Brecher des Eises",,,,„Und jetzt lass den Met kommen!“,,2021-S02
20303,"Manke Rayder, König-Jenseits-der-Mauer",,,,"„Ich bin mein eigener Recke, mein eigener Narr und mein eigener Harfner.“",,S04
20304,Anführer des Raubzugs,,,,,,2021
20305,Alpha der Höhlenbewohner,,,,,,2021
20306,Matriarchin der Speerfrauen,,,,,,2021
20307,Leibwechsler,,,,,,S04
20308,Adler,,,*Diese Figur kann nur durch die Fähigkeit „Gebundener Leibwechsler“ einer Armee hinzugefügt werden.*,,,2021
20309,Wolf,,,*Diese Figur kann nur durch die Fähigkeit „Gebundener Leibwechsler“ einer Armee hinzugefügt werden.*,,,2021
20310,Auserkorener von Styr,,,,,,2021-S01
20313,"Styr, Magnar von Thenn",,,,"„Seine Leute verehrten ihn eher wie einen Gott, statt ihn als ihren Herrn zu achten.“",,2021
20314,Knochenstreiter,,,,,,2021
20315,"Rasselhemd, Der Herr der Knochen",,,,„Rasselhemd könnte seine Hände hundertmal waschen und hätte immer noch Blut unter den Nägeln.“ – Jon Schnee,,2021-S03
20316,"Rasselhemd, Gnadenloser Schlächter",,,,"„Ein kleiner, boshafter und verräterischer Mann, so dumm wie Grausam.“ – Jon Schnee",,2021
20317,"Harma, Herrführerin der Vorhut",,,,„Ich behalte seinen Kopf als Banner. Ein Abtrünniger ist schlimmer als ein Hund.“,,2021
20318,"Harma, Der Hundekopf",,,,"„Alle zwei Wochen ein neuer Hund, ein neuer Banner.“",,2021
20319,Harmas Bannerträger,,,"*Darf nur in einer Armee aufgestellt werden, die Harma enthält. Ignoriere die üblichen Verstärkungsbeschränkungen.*",Sie hasst Hunde ebenso sehr wie sie Krähen hasst.,,2021-S03
20320,"Der Weiner, Schrecklicher Fleischer",,,,"„Die Augen herauszuschneiden ist das Werk des Weiners. Die besten Krähen sind blinde Krähen, hat er immer gesagt.“",,2021-S03
20321,"Der Weiner, Grausamer Tyrann",,,,„Der Weiner wird die Worte nicht sprechen. Er wird den Mantel nicht tragen. Selbst die anderen Räuber vertrauen ihm nicht.“ – Othell Yarwyck,,2021-S01
20322,"Ygritte, Bogenschützin der Speerfrauen",,,,"„Männer können kein Land besitzen, genauso wenig wie das Meer oder den Himmel.“",,2021
20323,"Jarl, Versierter Anführer von Überfällen",,,,„Die Mauer verteidigt sich selbst.“,,2021-S02
20324,Häuptling des Walrossclans,,,,,,2021-S01
20325,"Das grosse Walross, Durch Eis und Schnee gestählt",,,,„Hrmph.“,,S04
20326,"Jon Schnee, Die übergelaufene Krähe",,,,"„Männer sind Männer, und Frauen sindFrauen, gleichgültig, auf welcher Seite derMauer wir geboren wurden.“ – Lady Val",,2021
20328,"Borroq, Eber-Leibwechsler",,,,"„Und was machst du, Krähe? Verkriechstdu dich mit deinem weißen Hund hierin der Schwarzen Festung?“",,2021-S01
20329,"Das grosse Walross, Lord der Eisigen Küste",,,,"„Ein wildes Volk. Die Männer sind schlimm, dieFrauen noch schlimmer.“ – Tormund Riesentod",,2021-S02
20401,Hauptmann von Grauenstein,,,,,,2021
20402,"Ramsay Schnee, Der Bastard von Bolton",,,,"„Schnee hat mich mein Weib genannt, bevor sie ihre eigenen Finger gefressen hat, aber ich sage Bolton.“",,2021
20403,"Ramsay Schnee, Sadist",,,,"„... ein nackter Mann hat wenig Geheimnisse, aber ein gehäuteter Mann hat gar keine mehr.“",,2021
20404,"Theon Graufreud, Stinker",,,"*Darf nur in einer Armee aufgestellt werden, die Ramsay Schnee enthält, und muss seine Einheit verstärken. Ignoriere die üblichen Verstärkungsbeschränkungen.*","„Ich bin nicht er, bin nicht der Abtrünnige, er ist in Winterfell gestorben. Mein Name ist Stinker.“",,2021-S01
20406,"Brienne, Jungfrau von Tarth",,,,"„Ein wahrer Ritter hat geschworen, die Schwachen zu beschützen oder sein Leben bei dem Versuch zu geben.“",,2021-S02
20407,"Bronn, Der Söldner",,,,"„Ich verkaufe mein Schwert, ich verschenke es nicht.“",,2021
20408,Schinder von Haus Bolton,,,,,,2021
20409,"Vargo Hoat, Die Ziege von Harrenhal",,,,"„Die Ziege ist der Lord von Harrenhal, und der Lord von Harrenhal feilscht nicht.“ – Qyburn",,2021-S03
20410,"Vargo Hoat, Der Krüppelmacher",,,,„Wie viele Ungeheuer hat Lord Tywin denn noch?“ – Arya Stark,,2021
20411,"Daario Naharis, Hauptmann der Sturmkrähen",,,,"„Er hat das Gewissen eines Söldners, also gar keins.“ – Daenerys Targaryen",,2021
20412,"Daario Naharis, Rücksichtsloser Söldner",,,,"„Für mich gilt ein Tag nicht als richtig gelebt, wenn ich nicht eine Frau geliebt, einen Feind getötet und ein gutes Mahl genossen habe.“",,2021
20413,"Jaqen H’ghar, Unbenannt",,,,„Valar Morghulis.“,,2021
20414,Leutnant der Sturmkrähen,,,,,,2021
20415,"Roose Bolton, Lord Egel",,,,"„Furcht ist es, was einen Mann in dieser Welt des Verrats und des Betrugs am Leben erhält.“",,2021
20416,Glückssucher,,,,,,2021
20417,Ruhmsucher,,,,,,2021-S02
20418,Offizier der Goldenen Kompanie,,,,,,2021-S03
20419,Lysenischer Bootsmann,,,,,,2021
20420,"Arya Stark, Prinzessin auf der Flucht",,,"*Darf nur in einer Armee aufgestellt
werden, die Sandor Clegane, Leibwächter auf der Flucht, enthält.*","Und an diesem Abend gab es einen
Namen weniger zu hassen.",,2021
20421,"Sandor Clegane, Leibwächter auf der Flucht",,,,"„Wenn ein Hund bösartig wird, liegt die Schuld bei seinem Herrn.“ – Ser Kevan Lennister",,2021
20422,"Rorge, Der irre Hund von Salzpfann",,,,"„Willst du eine Nase wie meine?
Wehr dich, und du bekommst eine!“",,2021
20423,"Beisser, Rorges irrer Hund",,,"*Darf nur in einer Armee aufgestellt
werden, die Rorge enthält.*","„Beißer kann nicht sprechen, und Beißer kann nicht schreiben, doch seine Zähne sind sehr scharf.“ – Jaqen H’ghar",,2021
20424,"Jokin, Hauptmann der Sturmkrähen",,,,„Die Sturmkrähen stehen nicht allein da.“ – Prendahl,,2021
20425,"Der Witwer, Hauptmann der Sturmkrähen",,,"*Darf nur in einer Armee aufgestellt werden, die Jokin, Hauptmann der Sturmkrähen, enthält.*","„Sturmkrähen stehen überhaupt
nicht.“ – Daenerys Targaryen",,2021
20426,"Jokin, Kommandant der Bogenschützen",,,,"„Fünfhundert Söldner, auf deren Treue man sich nicht verlassen kann.“ – Jorah Mormont",,2021
20427,"Der Witwer, Zweiter Kommandant",,,"*Darf nur in einer Armee aufgestellt werden, die Jokin, Kommandant der Bogenschützen, enthält.*","„Ich vertraue allen meinen Männern. Genau so weit, wie ich spucken kann.“ – Daario Naharis",,2021
20501,"Jeor Mormont, 997. Lord Kommandant",,,,"„Wenn tote Menschen einen bei Nacht verfolgen, glaubst du, dass es da noch wichtig ist, wer auf dem Eisernen Thron sitzt?“",,2021-S03
20502,"Jon Schnee, 998. Lord Kommandant",,,,"„Der Angst braucht man sich nicht zu schämen, hat mein Vater mich gelehrt, was zählt, ist, wie wir ihr entgegentreten.“",,2021-S02
20503,"Jon Schnee, „Lord Schnee“",,,,"Die einzigen Götter, die sie wirklich verehrten, waren Ehre und Pflicht.",,2021-S02
20504,Hauptmann der Wache,,,,,,2021-S02
20505,Anwerber der Wache,,,,,,2021
20509,"Allisar Thorn, Waffenmeister",,,,"„Wenn der Winter kommt, sterbt ihr wie die Fliegen.“",,2021-S03
20510,"Allisar Thorn, Rachsüchtiger Aufseher",,,,"„Ich habe tote Männer gesehen, die mehr Humor hatten als Euer Ser Allisar.“ – Tyrion Lennister",,2021
20511,"Donal Noye, Verteidiger der Schwarzen Festung",,,,„Ein einarmiger Schmied hat Mag den Mächtigen erschlagen? Har! Den Kampf hätte ich gern gesehen.“,,2021
20512,"Grenn, Auerochse",,,,„Grenn ist der Hässliche.“ – Pypar,,2021-S03
20513,"Pypar, Affe",,,"*Pypar darf einer Einheit hinzugefügt werden, die Grenn enthält und dabei die üblichen Verstärkungsbeschränkungen ignorieren.*",„Du bist hässlicher als ich. Wenigstens habe ich keine Ohren wie eine Fledermaus.“ – Grenn,,2021
20514,"Qhorin Halbhand, Grauer Grenzer",,,,"„Warum legen wir sonst das Schwarz an, wenn nicht, um bei der Verteidigung des Reiches zu sterben?“",,S04
20516,"Othell Yarwyck, Aufklärer",,,,"„Wählt, wen ihr wollt, jedenfalls nicht mich.“",,2021
20517,Skorpion-Modifizierungen (Othell Yarwyck),,,"*Diese Karte darf nur zu deiner Armee hinzugefügt werden, falls sie zudem Othell Yarwyck enthält. Sie wird an eine befreundete Skorpion-Mannschaft der Baumeister angelegt. Du darfst die „Begrenzt“-Regel der Skorpion- Mannschaft der Baumeister ignorieren.*",,,2021
20518,Leitender Baumeister,,,,,,2021
20519,Abgehärteter Grenzer,,,,,,2021
20520,Marschall der Wache,,,Begrenzt: *Deine Armee darf maximal 2 Marschälle der Wache enthalten.*,,,2021
20521,Skorpion-Modifizierungen (Baumeister),,,"*Diese Karte darf nur zu deiner Armee hinzugefügt werden, falls sie zudem mindestens 1 Leitenden Baumeister enthält. Sie wird an eine befreundete Skorpion-Mannschaft der Baumeister angelegt.*",,,2021
20522,"Othell Yarwyck, Erster Baumeister",,,,„Nur wenige Männer haben so viel Wissen und Fähigkeiten wie der Erste Baumeister.“,,2021-S02
20523,"Benjen Stark, Wolf der Mauer",,,,„Die Nachtwache ist eine verschworene Bruderschaft. Wir haben keine Familien.“,,2021
