Id,Translated Name,,,Requirement,Quote,,Version
20101,Vétéran d'Assaut,,,,,,2021
20102,Capitaine de la Garde,,,,,,2021-S01
20103,"Sandor Clegane, Le Limier",,,,« Il n’est rien de plus agréable au monde que de tuer. »,,2021
20104,"Tywin Lannister, Seigneur de Castral Roc",,,,"« Il existe un outil pour chaque besogne, et une besogne pour chaque outil. »",,2021-S03
20105,"Tyrion Lannister, Le Mi-Homme",,,,"« En voilà, des braves ! Allons les tuer. »",,2021
20106,"Barristan Selmy, Lord Commandant de la Garde Royale",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,"« Des sept actuels, seul est fait d’authentique acier ser Barristan Selmy, mais Selmy est vieux. » – Varys",,2021
20107,"Jaime Lannister, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,"« ... frère lige de la Blanche Épée, et nul n’ignore quel crédit mérite sa foi jurée. » – Varys",,2021-S02
20108,"Mandon Moore, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,« Un éclair neigeux et soyeux de mort. » – Tyrion Lannister,,2021
20109,"Meryn Trant, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,"« Ils faisaient d’elle un joyau, jadis, une éblouissante leçon pour le monde. » – Bran Stark",,2021
20110,"Arys du Rouvre, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,Il y a toujours eu des hommes pour trouver plus facile de prononcer des voeux que pour les respecter.,,2021
20111,"Boros Blount, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,« Nul ne menace impunément Sa Majesté en présence de la Garde. »,,2021-S01
20112,"Preston Verschamps, Garde Royal",,,*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Royale.*,"– Qui écoute tout et n’entend rien ?
– Un chevalier de la Garde Royale.",,2021
20113,Champion de la Foi,,,,,,2021-S02
20114,"Gregor Clegane, Chien Enragé de Lord Tywin's",,,,« Jamais personne n’a résisté à Gregor. »,,2021
