Id,Translated Name,,Requirement,Quote,,Version
30101,"Tywin Lennister, Der große Löwe",,,"„Manche Schlachten werden mit Schwertern und Speeren gewonnen, andere mit Federn und Raben.“",,2021
30102,"Pycelle, Großmaester",,,"„Pycelle ist eine Kröte. Aber besser eine Lennisterkröte als eine Tyrellkröte, nicht wahr?“ – Tyrion Lennister",,S04
30103,"Der Hohe Spatz, Vater der Gäubigen",,,"„Selten fühle ich mich Gott so nahe wie in dem Moment, wenn ich für meine eigene Verderbtheit ausgepeitscht werde …“",,2021
30104,"Tyrion Lennister, Der Gnom",,,"„Er ist ein größerer Mann, als es auf den ersten Blick den Anschein hat, denke ich.“ – Ser Garlan",,2021
30105,"Cersei Lennister, Königin Regentin",,,"„Wenn man das Spiel um Throne spielt, gewinnt man, oder man stirbt. Dazwischen gibt es nichts.“",,2021
30106,"Joffrey Baratheon, Lord der Sieben Königslande",,,"„Seine Gnaden hat eine unnachahmliche Art, die Herzen seiner Untertanen zu gewinnen.“ – Tyrion Lennister",,2021-S01
30107,"Kevan Lennister, Meister des Rechts",,,"„Die Götter haben einen Mitläufer aus ihmgemacht, keinen Anführer.“ – Tyrion Lennister",,2021
30108,"Qyburn, Meister der Flüsterer",,"*Darf nicht in einer Armee aufgestelltwerden, die Varys enthält.*",„Eure Geheimnisse sind bei mir bestens aufgehoben.“,,S04
30109,"Tommen Baratheon, Nächster in der Thronfolge",,,"„Wenn ich groß bin und als Königregiere, verbiete ich Rote Bete.“",,S04
30201,"Catelyn Stark, Lady von Winterfell",,,"„Weise mir den Weg, den ich gehen muss, und lass mich an den dunklen Orten, die vor mir liegen, nicht stolpern.“",,2021
30202,"Sansa Stark, Kleiner Vogel",,,"„Der Bluthund hat Recht … ich bin nur ein kleiner Vogel und plappere die Worte nach, die man mich gelehrt hat.“",,2021-S01
30204,"Eddard Stark, Wächter des Nordens",,,"„Ihr tragt Euer Ehrgefühl wie eine Rüstung, Stark.“ – Petyr Baelish",,2021-S01
30205,"Rodrik Cassel, Kriegsveteran",,,„Es gibt keinen besseren Lehrer als Rodrik.“,,S04
