Name,Description,Icons,Version
"""Camp Followers""","Each time this unit Activates, it suffers 1 Hit for each of its remaining ranks.",,
"A Man Freed, A Name Owed","When Jaqen is destroyed, your opponent may target 1 of your Combat Units. It suffer 3 Wounds. As 1 of these Wounds, they may destroy 1 Infantry Attachment in that unit.",W,
Abundant Promises,"• **Precision**
• After completing a Melee Attack, remove any number of Pillage tokens from this unit. For each token removed, this unit restores 2 Wounds.",M,
Acute Precision,This unit's Attacks gain **Precision**.,"M,R",
Adaptive,"When building your army, reduce the cost of 1 Attachment in this unit by 1.",,
Advantage Strike,"When Attacking enemies that have not Activated this Round, this unit's Melee Attacks may re-roll any Attack Dice.",M,
Aerial Scouting,"• Once each Turn, when this unit performs a Maneuver or March Action, before resolving that Action, this model's Skinchanger unit may perform a 2"" shift.
• Each time an enemy performs a Melee Attack on this unit, the Attacker gains **Precision**.",,S05
Affiliation: Bloody Mummers,This unit is a Bloody Mummer unit.,W,
Affiliation: Builder,This unit is a Builder unit.,W,
Affiliation: Crannogman,This unit is a Crannogman unit.,W,
Affiliation: Frozen Shore,This unit is a Frozen Shore unit.,W,
Affiliation: Golden Company,This unit is a Golden Company unit.,W,2021-S03
Affiliation: House Bolton,This unit is a House Bolton unit.,W,
Affiliation: House Clegane,This unit is a House Clegane unit.,W,
Affiliation: House Karstark,This unit is a House Karstark unit.,W,
Affiliation: House Mormont,This unit is a House Mormont unit.,W,
Affiliation: House Tully,This unit is a House Tully unit.,W,
Affiliation: House Umber,This unit is a House Umber unit.,W,
Affiliation: R'hllor,This unit is a R'hllor unit.,W,
Affiliation: Rangers,This unit is a Ranger unit.,W,
Affiliation: Stormcrows,This unit is a Stormcrow unit.,W,
Agile,Enemies suffer -1 to Hit when Attacking this unit.,,
Ambush,"Enemies this unit Successfully Charges in the Flank or Rear become <b>Panicked, Vulnerable and Weakened</b>.",M,S06
Arrow Volley,"• Ignores units and terrain when determining Line of Sight. 
• If the Defender suffers any Wounds, they become <b>Weakened</b>.",R,S06
Bardiche,• **Vicious**,M,2021-S03
Battle Prayer,"This unit begins the game with 1 **Faith token**. Each time it passes a Morale Test, it gains 1 Faith token. Faith tokens may be expended to do the following:
**• When an enemy is performing an Attack on this unit, after rolling Defense Dice:**
This unit blocks +1 Hit, +1 additional Hit for each of its destroyed ranks.
**• When this unit is performing a Melee Attack, before rolling Attack Dice:**
This Attack gains Sundering and may re-roll any Attack Dice.",F,
Battle Scars,"Each time this unit performs a Melee Attack, before rolling Attack Dice, Choose 1. For each destroyed rank in this unit, choose +1:
• <b>Vicious</b>
• This unit may re-roll any Attack Dice.
• This unit rolls its highest Attack Die Value.",M,S04
Bear Cavalry,"• Each model in this unit has 4 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,
Beric's Vassal,This model counts as Beric Dondarrion for all abilities and effects.,W,
Berserker Axes,Gains +1 to Hit for each of this unit’s destroyed ranks.,M,
Berserker's Fervor,"For each of this units destroyed ranks, it gains +1 to Defense Dice rolls and +1 to Morale Test rolls.",W,S04
Black Fire,"• **Vicious**
• Hits from this Attack cannot be blocked. If this Attack generates **any** Hits, instead of rolling Defense Dice, the Defender suffers D3 Wounds, +1 Wound for each of its remaining ranks, and 1 enemy in Short Range of the Defender becomes **Panicked**.","W,M",2021-S01
Blade and Fang,• **Vicious**,M,
Bloodrider,This unit cannot become <b>Weakened</b>.,W,
Bloodriders' Arakh,"• **Sundering**
• **Vicious**",M,S04
Boarding Axe,"• <b>Sundering</b>
• If this unit has 2 Pillage tokens, when performing an Attack, before rolling Attack Dice, the Defender becomes <b>Panicked</b>.",M,
Boisterous Charisma,"Each time this unit passes a Panic Test, target 1 enemy unit in Short Range. They become <b>Vulnerable</b> or <b>Weakened</b>.",W,S05
Boldness and Courage,"Each time this unit Attacks, if it has full ranks, it gains +1 Attack Die. Otherwise, it is treated as having +1 rank for Attack Dice.","R,M",
Bolt Thrower,"• **Vicious**
• Measures Range and Line of Sight from any part of this unit's tray.
• May suffer -3 to Hit to ignore Line of Sight and gain **Unlimited Range**.
• Defenders do not roll Defense Dice.
• If the Defender is Cavalry, Monster or War Machine, this Attack deals 2 Hits for each success.","R,W",2021-S03
Bonded Bear,"• This unit has 3 Wounds.
• Cannot Control Objectives and cannot grant Victory Points.
• When this unit is selected, deploy it fully within Short Range of other friendly Free Folk units, and at least 1” from any enemy unit.
• At the start of any Round, if this unit is not in Short Range of other friendly Free Folk unit, it is destroyed.
• This unit does not Activate as normal. Instead, once per Turn, when this model’s Skinchanger unit Activates, this unit Activates immediately after them.
• Enemies engaged with this unit suffer -1 to Defense Dice Rolls.",W,S05
Bonded Boar,"• This unit has 3 Wounds and cannot grant Victory Points.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.
• At the start of any Round, if this unit is not in Long Range of Borroq’s unit, it is destroyed.
• This unit does not Activate as normal. Instead, when Borroq’s unit Activates, this unit Activates immediately after them.",W,
Bonded Eagle,"At the start of each Round, target 1 enemy Combat Unit. Attach this card to that enemy until the end of the Round, placing this model near the unit's tray to mark it. This model is ignored for all other purposes.",,S05
Bonded Skinchanger,"• When this unit is deployed, select Bear, Eagle, or Wolf. See that unit's card for additional effects.
• When this unit is destroyed, remove it's bonded animal.",,S05
Bonded Wolf,"At the start of each Round, target 1 enemy Combat Unit. Attach this card to that enemy until the end of the Round, placing this model near the unit's tray to mark it. This model is ignored for all other purposes.",,S05
Bookkeeping (Cortnay Penrose),"As long as Cortnay Penrose is on the battlefield, increase your Tactics Hand Size limit by +1. You start the game with 4 cards and may draw up to 4 cards when refilling your hand.",,
Bookkeeping (Samwell Tarly),"As long as Samwell Tarly is on the battlefield, increase your Tactics Hand Size limit by +1. You start the game with 4 cards and may draw up to 4 cards when refilling your hand.",,
Bran’s Protector,"After Bran Stark’s unit is Attacked, this unit may perform 1 Attack or Charge Action on the Attacker.",,
Brotherhood Armaments,"• <b>Critical Blow</b>
• If your opponent does not control [CROWN], this attack gains +1 to Hit and <b>Sundering</b>.",M,
Brutal Armaments,"• **Vicious**
• Defender suffers +1 Wound from failing Panic Tests from this Attack for each of its destroyed ranks.",M,
Brutal Sadism,"Before rolling Attack Dice, choose 1:
• Attack gains **Critical Blow**
• Attack gains **Sundering**
• Defender becomes **Panicked**.
After completing this Attack, if it did not destroy an enemy rank, the Attacker suffers 2 Wounds.","R,M",
Bulwark Formation,"If this unit has not performed an Action this Round, it gains +2 to Defense Dice rolls.",,
Captain’s Men,"If Victarion Greyjoy is attached to this unit, it deploys with 1 Pillage token.",,
Cavalry,"• Each model in this unit has 3 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,
Champion’s Wrath,"• **Critical Blow**
• Enemies Succesfully Charged become **Weakened**.
• If this unit began the Turn engaged with the Defender, before rolling Attack Dice, the Defender becomes **Vulnerable**.",M,2021-S01
Chariot,"• This unit has 6 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,
