Original Name,Translated Name,Translated Description,Version
"""Camp Followers""",Fanatische Zuhörerschaft,"Immer wenn diese Einheit aktiviert wird, erleidet sie 1 Treffer für jede ihrer verbleibenden Schlachtreihen.",2021
"A Man Freed, A Name Owed","Ein befreiter Mann, ein geschuldeter Name","Sobald Jaqen vernichtet wird, darf dein Gegner 1 deiner Kampfeinheiten zum Ziel bestimmen. Sie erleidet 3 **Wunden**. Als 1 dieser **Wunden** darf er 1 Infanterie-Verstärkung dieser Einheit vernichten.",2021
Abundant Promises,Überschwängliche Versprechungen,"• **Präzision**
• Nachdem diese Einheit einen Nahkampfangriff abgeschlossen hat, lege eine beliebige Anzahl Plündermarker von ihr ab. Diese Einheit heilt 2 **Wunden** für jeden abgelegten Marker.",2021
Accute Precision,Hohe Präzision,Die Angriffe dieser Einheit erhalten Präzision.,2021
Adaptive,Anpassungsfähig,Senke bei der Zusammenstellung der Armee die Kosten 1 Verstärkung dieser Einheit um 1.,2021
Advantage Strike,Überlegener Schlag,"Sobald diese Einheit Feinde angreift, die in dieser Runde noch nicht aktiviert worden sind, dürfen bei ihren Nahkampfangriffen beliebig viele Angriffswürfel neu geworfen werden.",2021
Aerial Scouting,Erkundungsflug,"Ein Mal pro Zug, sobald diese Einheit eine Manöver- oder Marschaktion durchführt, bevor jene Aktion abgehandelt wird, darf die Leibwechsler-Einheit dieser Figur um 2 Zoll verschoben werden.",2021
Affiliation: Bloody Mummers,Zugehörigkeit: Blutiger Mummenschanz,Diese Einheit ist eine Blutiger-Mummenschanz-Einheit.,2021
Affiliation: Builder,Zugehörigkeit: Baumeister,Diese Einheit ist eine Baumeister-Einheit.,2021
Affiliation: Crannogman,Zugehörigkeit: Pfahlbaumänner,Diese Einheit ist eine Pfahlbaumänner-Einheit.,2021
Affiliation: Frozen Shore,Zugehörigkeit: Eisige Küste,Diese Einheit ist eine Eisige-Küste-Einheit.,2021
Affiliation: Golden Company,Zugehörigkeit: Goldene Kompanie,Diese Einheit ist eine Goldene-Kompanie-Einheit.,2021-S03
Affiliation: House Bolton,Zugehörigkeit: Haus Bolton,Diese Einheit ist eine Haus-Bolton-Einheit.,2021
Affiliation: House Clegane,Zugehörigkeit: Haus Clegane,Diese Einheit ist eine Haus-Clegane-Einheit.,2021
Affiliation: House Karstark,Zugehörigkeit: Haus Karstark,Diese Einheit ist eine Haus-Karstark-Einheit.,2021
Affiliation: House Mormont,Zugehörigkeit: Haus Mormont,Diese Einheit ist eine Haus-Mormont-Einheit.,2021
Affiliation: House Tully,Zugehörigkeit: Haus Tully,Diese Einheit ist eine Haus-Tully-Einheit.,2021
Affiliation: House Umber,Zugehörigkeit: Haus Umber,Diese Einheit ist eine Haus-Umber-Einheit.,2021
Affiliation: R'hllor,Zugehörigkeit: R’hllor,Diese Einheit ist eine R’hllor-Einheit.,2021
Affiliation: Rangers,Zugehörigkeit: Grenzer,Diese Einheit zählt als Grenzer-Einheit.,2021
Affiliation: Stormcrows,Zugehörigkeit: Sturmkrähen,Diese Einheit ist eine Sturmkrähen-Einheit.,2021
Agile,Agil,"Feinde erleiden –1 auf den Trefferwurf, sobald sie diese Einheit angreifen.",2021
Ambush,Überfall,"Feinde, gegen die diese Einheit einen erfolgreichen Ansturm in die Flanke oder den Rücken durchführt, werden **Panisch** und **Geschwächt**.",2021
Arrow Volley,Pfeilhagel,"• Diese Einheit ignoriert Einheiten und Geländeteile, wenn sie die Sichtlinie bestimmt.
• Falls der Verteidiger bei einem Verteidigungswurf eine 1 würfelt, nachdem dieser Angriff abgeschlossen worden ist, wird er **Geschwächt**.",2021-S03
Bardiche,Bartaxt,• **Grausam**,2021-S03
Battle Prayer,Kampfgebet,"Bei Spielbeginn wird 1 **Glaubensmarker** auf diese Einheit gelegt. Immer wenn sie eine Moralprobe besteht, erhält sie 1 Glaubensmarker. Glaubensmarker können für die folgenden Effekte ausgegeben werden:
• Sobald ein Feind einen Angriff auf diese Einheit durchführt, nachdem die Verteidi­gungswürfel geworfen worden sind:
 Diese Einheit wehrt +1 Treffer ab, +1 zusätzlichen Treffer für jede ihrer vernichteten Schlachtreihen.
• Sobald diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden: 
 Dieser Angriff erhält **Spaltschlag** und sie darf beliebig viele Angriffswürfel neu werfen.",2021
