Original Name,Translated Name,Translated Description,Version
"""Camp Followers""",« Suit-la-Troupe »,"Chaque fois que cette unité est activée, elle subit 1 Touche pour chacun de ses rangs restants.",2021
"A Man Freed, A Name Owed","Un Homme Libéré, un Nom Dû","Quand Jaqen est détruit, votre adversaire peut cibler 1 de vos Unités Combattantes. Elle subit 3 Blessures. Il peut choisir d’utiliser une de ces Blessures pour détruire un Attachement dans l’unité ciblée. ",2021
A Name Given,Un Nom Donné,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* : 
Tant que cette carte Influence une unité d’Infanterie alliée, les Attaques de Mêlée de celle-ci gagnent **Précision**. ",2021
A Rose and its Thorns,Une Rose et ses Épines,"Chaque fois que Margaery s’empare d’une zone, vous pouvez cibler 1 Unité Combattante alliée. Elle soigne 1 de ses Blessures. Vous pouvez ensuite cibler 1 ennemi engagé avec cette unité. Il devient **Vulnérable**.",2021
Adaptive,Réactivité,"Quand vous créez votre armée, réduisez de 1 le coût de 1 Attachement de cette unité, ",2021
Advantage Strike,Frappe Avantageuse,"En attaquant un ennemi qui n’a pas été activé ce round-ci, les Attaques de Mêlée de cette unité peuvent relancer n’importe quels dés d’Attaque.",2021
Aerial Scouting,Reconnaissance Aérienne,"Une fois par tour, quand cette unité effectue une action de Marche ou de Manoeuvre, avant de résoudre celle-ci, l’unité de Change-peau de cette figurine peut se décaler de 2’’.",2021
Affiliation: Bloody Mummers,Affiliation : Pitres Sanglants,Cette unité compte comme une unité de Pitres Sanglants.,2021
Affiliation: Builder,Affiliation : Constructeurs,Cette unité compte comme une unité de Constructeurs.,2021
Affiliation: Crannogman,Affiliation : Paludiers,Cette unité compte comme une unité de Paludiers.,2021
Affiliation: Frozen Shore,Affiliation : Grève Glacée,Cette unité compte comme une unité de La Grève Glacée.,2021
Affiliation: House Bolton,Affiliation : Maison Bolton,Cette unité compte comme une unité de la Maison Bolton.,2021
Affiliation: House Clegane,Affiliation : Maison Clegane,Cette unité compte comme une unité de la Maison Clegane.,2021
Affiliation: House Karstark,Affiliation : Maison Karstark,Cette unité compte comme une unité de la Maison Karstark.,2021
Affiliation: House Mormont,Affiliation : Maison Mormont,Cette unité compte comme une unité de la Maison Mormont.,2021
Affiliation: House Tully,Affiliation : Maison Tully,Cette unité compte comme une unité de la Maison Tully.,2021
Affiliation: House Umber,Affiliation : Maison Omble,Cette unité compte comme une unité de la Maison Omble.,2021
Affiliation: R'hllor,Affiliation : R'hllor,Cette unité compte comme une unité R’hllor.,2021
Affiliation: Rangers,Affiliation : Patrouilleurs,Cette unité compte comme une unité de Patrouilleurs.,2021
Affiliation: Stormcrows,Affiliation : Corbeaux Tornade,Cette unité compte comme une unité de Corbeaux Tornade.,2021
Agile,Agile,Les ennemis subisssent -1 pour Toucher quand ils attaquent cette unité.,2021
Ambush,Embuscade,Les ennemis Chargés avec succès de Flanc ou de Dos par cette unité deviennent **Paniqués** et **Affaiblis**.,2021
Arrow Volley,Volée de flèches,"• Cette attaque ignore les unités et les Terrains pour déterminer sa Ligne de Vue.
• Les Défenseurs qui échouent leur Test de Panique perdent toutes leurs Capacités Ordre jusqu’à la fin du round et deviennent **Affaiblis**.",2021
Avenging The North,Venger le Nord,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant qu’elle est Influencée par cette carte, l’unité gagne les effets suivant en fonction du nombre d’unités alliées détruites *(cumulatif)* :
**0+ :** Cette unité gagne +1 à ses Tests de Moral.
**1+ :** Ses Attaques de Mêlée gagnent **Frappe Critique**.
**2+ :** Cette unité réussit automatiquement ses Tests de Panique.
**3+ :** Cette unité peut relancer n’importe quels dés d’Attaque.",2021
Backing of The Iron Bank,Soutien de la Banque de Fer,"Une fois par partie, au début de n’importe quel tour, vous pouvez soigner un total de 5 Blessures réparties sur le nombre d’Unités Combattantes alliées de votre choix.",2021
Battle Prayer,Prière de Bataille,"Cette unité commence la partie avec 1 **pion Foi**. Chaque fois qu’elle réussit un Test de Moral, elle gagne 1 pion Foi. Elle peut dépenser 1 pion Foi dans les situations suivantes :
• **Quand un ennemi effectue une Attaque de Mêlée sur cette unité, après avoir lancé les dés de Défense :**
Cette unité bloque +1 Touche, +1 pour chacun de ses rangs détruits.
• **Quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque :**
Cette attaque gagne **Fracasser** et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Belwas),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Brienne),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Cohollo),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Dagmer),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Maege),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Battle Scars (Qhorin Halfhand),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021-S01
Battle Scars (The Great Walrus),Cicatrices de Combat ,"Après que cette unité a été attaquée, placez 1 pion Ordre sur cette carte. Les Attaques de Mêlée de cette unité gagnent les effets suivants en fonction du nombre de pions Ordre *(cumulatif)* :
• **1+ : Cruel**
• **2+ : Fracasser**
• **3+ :** Cette attaque lance toujours sa valeur de dés la plus élevée et peut relancer n’importe quels dés d’Attaque.",2021
Bear Cavalry,Cavalerie d'Ours,"• Chaque figurine de cette unité possède 4 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.",2021
Berserker Axes,Haches de Berserkers,Gagnent +1 pour Toucher pour chaque rang détruit dans cette unité.,2021
Black Fire,Feu Noir,"• **Cruel**
• Les Touches de cette attaque ne peuvent pas être bloquées. Si cette attaque génère des Touches, au lieu de lancer les dés de Défense, le défenseur subit D3+3 Blessures et 1 ennemi situé à Courte Portée ou moins du défenseur devient **Paniqué**.",2021-S01
Blade and Fang,Lames et Crocs,• **Cruel**,2021
Bloodrider,Sang Coureur,Cette unité ne peut pas devenir **Affaiblie**.,2021
Boisterous Charisma,Charisme Fougueux,"Cette unité ne peut jamais être ciblée par des Ordres ou des cartes Tactiques ennemies, ni être Influencée par des UNC ennemies.",2021
