Id,Name,Text,Back,Version
50101,Bannières Baratheon,"La Garde Royale est déployée avec 4 Bannières Baratheon. Au début de son activation, elle peut retirer des Bannières Baratheon pour gagner les effets suivants. Chaque effet ne peut être choisi qu’une seule fois par activation :
• Ce tour-ci, les Attaques de cette unité gagnent **Frappe Critique** et **Fracasser**.
• Ce tour-ci, les Attaques de cette unité gagnent **Cruel** et, si le défenseur échoue son Test de Panique, il subit +1 Blessure.
• Ce tour-ci, quand cette unité effectue une attaque, avant de lancer les dés d’Attaque, le défenseur devient **Paniqué** et **Affaibli**.
• Cette unité soigne 2 de ses Blessures et peut relancer ses dés de Distance de Charge et de Repli ce tour-ci.",,2021
50201,Crannog Poison,"[SKILL:Venom]

Chaque fois que cette unité effectue une action, avant de résoudre celle-ci, elle subit 1 Blessure, +1 si elle possède au moins 1 pion État.
Si vous devez retirer un pion État de cette unité, vous pouvez retirer cette carte à la place.","Poison; « Un homme, un vrai, ne tuait pas par le poison. Le poison était bon pour les pleutres, les femmes et les Dorniens. »;Victarion Greyjoy;
Au début de la partie, placez cette carte à côté de votre Paquet Tactique.;
Certaines Capacités ou effets indiquent quand jouer cette carte.",2021
50301,Chef des Géants,"**Vous pouvez choisir Mag le Puissant comme Général**
Si vous le faites, son coût en points passe à 5 *(au lieu de 9).*

Si Mag le Puissant est votre général, remplacez le paquet Tactique du Peuple Libre par celui de Mag.","Mag The Mighty;Mag Mar Tun Doh Weg;*« Libre à toi d’y faire des génuflexions, si ça te chante, il en aura rien à foutre. »*; Remplacez le paquet Tactique du Peuple Libre par celui de Mag.",2021-S02
50302,Varamyr Sixpeaux,"Vous pouvez choisir Varamyr Sixpeaux comme Général.
Si vous le faites, réduisez sa Valeur en Points à 2.
Si Varamyr est votre Général, votre armée **doit** également inclure le Lynx-de-Fumée et la Meute de Loups.","Varamyr Sixpeaux;Maître Change-Peau;
« Un vicieux petit avorton. » – Tormund Fléau-d’Ogres; Ordres Liés
Gardiens Liés
Invocation de Compagnons",2021
50601,Bannières Baratheon,"La Garde Arc-en-ciel est déployée avec 4 Bannières Baratheon. Au début de son activation, elle peut retirer des Bannières Baratheon pour gagner les effets suivants. Chaque effet ne peut être choisi qu’une seule fois par activation :
• Ce tour-ci, les Attaques de cette unité gagnent **Frappe Critique** et **Fracasser**.
• Ce tour-ci, les Attaques de cette unité gagnent **Cruel** et, si le défenseur échoue son Test de Panique, il subit +1 Blessure.
• Ce tour-ci, quand cette unité effectue une attaque, avant de lancer les dés d’Attaque, le défenseur devient **Paniqué** and **Affaibli**.
• Cette unité soigne 2 de ses Blessures et peut relancer ses dés de Distance de Charge et de Repli ce tour-ci.",,2021
50701,Demeure des Nonmourants,"**Il ne peut y avoir qu’une seule Demeure des Nonmourants en jeu.**
Votre adversaire doit défausser 1 carte Tactique de sa main au hasard.",,2021-S03
50801,Pillards des Îles de Fer,"[SKILL:Pillage]

Chaque fois qu’une unité de la Maison Greyjoy détruit un rang ennemi avec une Attaque de Mêlée, elle gagne 1 pion Pillage. Une unité peut posséder un maximum de 2 pions Pillage à la fois.

Cette unité gagne les effets suivants en fonction du nombre de pions Pillage *(cumulatif)* :

**•1+ :** +1 aux lancers de Test de Moral.

**•2 :** +1 dé d’Attaque.",,2021-S03
50900,Jardins Aquatiques,"**Il ne peut y avoir que 1 carte Jardins Aquatiques en jeu. Tant que vous contrôlez cette zone, vos adversaires sont considérés comme ne contrôlant aucune zone du Tableau Stratégique pour les Capacités et les cartes Tactiques.**
Lors de son prochain tour, votre adversaire doit activer une Unité Combattante si possible.","Au début de la partie, si votre armée comprend Doran Martell, Prince de Dorne, placez la zone des Jardins Aquatiques à côté du Tableau Stratégique. Elle compte comme une nouvelle zone Stratégique.",2021
50901,Sire de Lancehélion,"Vous pouvez choisir **Doran Martell, Sire de Lancehélion** comme Général de votre armée *(vous devez néanmoins vous acquitter de son coût en points)*. Si vous le faites, votre armée **doit** doit inclure **Areo Hotah, Capitaine de la Garde**. Toutes les règles qui s’appliquent à votre Général sur le champ de bataille s’appliquent à Areo Hotah.",,2021
50902,Venin de Manticore,"[SKILL:Venom]

Cette unité ne peut pas soigner ses Blessures.

Si cette unité doit devenir **Vulnérable** alors qu’elle est déjà Vulnérable, elle subit 1 Blessure.

Chaque fois que cette unité est activée, elle devient **Vulnérable**.","Poison; « Un homme, un vrai, ne tuait pas par le poison. Le poison était bon pour les pleutres, les femmes et les Dorniens. »;Victarion Greyjoy;
Au début de la partie, placez cette carte à côté de votre Paquet Tactique.;
Certaines Capacités ou effets indiquent quand jouer cette carte.",2021
50903,L’Étrangleur,"[SKILL:Venom]

A la fin de chaque round, placez 1 pion Ordre sur cette carte.

Si cette carte possède 2 pions Ordre, détruisez l’unité à laquelle elle est attachée.","Poison; « Un homme, un vrai, ne tuait pas par le poison. Le poison était bon pour les pleutres, les femmes et les Dorniens. »;Victarion Greyjoy;
Au début de la partie, placez cette carte à côté de votre Paquet Tactique.;
Certaines Capacités ou effets indiquent quand jouer cette carte.",2021
