Faction,Deck,Unit,Name,Text,Id,Remove,Version
Lannister,Lannister Basic Deck,,"Intrigue and
Subterfuge","**When an enemy NCU Activates:**

That NCU loses all Abilities
until the end of the Round.

If you Control [MONEY], target
1 enemy Combat Unit. That
enemy becomes **Weakened**.",40101,,2021
Lannister,Lannister Basic Deck,,"A Lannister
Pays His Debts","**Start of any Turn:**

Target 1 friendly Combat Unit
and attach this card to them until
the end of the game. When a friendly
Infantry or Cavalry unit is destroyed,
place 1 Order token on this card.

While this card has a token, the
attached unit's Melee Attacks
gain Vicious and, while you
Control [CROWN], +1 to Hit.",40102,,2021
Lannister,Lannister Basic Deck,,Hear Me Roar!,"**When an enemy is performing a
Morale Test, before dice are rolled:**

That enemy suffers -1 to their
roll, and an additional -1 for each
of their destroyed ranks. On
failure, they suffer 1 Wound *(or
+1 Wound on a failed Panic Test)*.",40103,,2021
Lannister,Lannister Basic Deck,,Bribery,"**When a friendly NCU Claims a zone:**

Replace that zone's effect with:

*Target 1 enemy Combat Unit and 
attach the Bribery card to them 
until they pass a Morale Test, or 
are targeted by [MONEY].*

While attached, this unit Attacks 
using its lowest Attack Die Value and 
suffers -1 to Morale Test rolls.",40104,,2021-S03
Lannister,Lannister Basic Deck,,Counterplot,"**When an opponent
plays a Tactics card, before
resolving that Tactics card:**

Roll a die: On a 3+, cancel the 
effect of that Tactics Card.

If you Control [CROWN] or [MONEY], 
cancel the effect of that Tactics 
card on a 2+ instead.

If you Control both, this roll 
automatically succeeds.",40105,,2021-S03
Lannister,Lannister Basic Deck,,"Fealty to
The Crown","**When an enemy fails 
a Panic Test:**

Target 1 friendly unit 
in Long Range.

For each Wound that 
enemy suffered from this 
test, restore 1 Wound to 
that friendly unit, up to 3.

If you Control [CROWN], that enemy 
suffers +1 Wound and that friendly 
unit restore +1 Wound *(to a 
maximum of 4)*.",40106,,2021-S03
Lannister,Lannister Basic Deck,,"Subjugation
of Power","**When an enemy
Combat Unit Activates:**

That enemy suffers 1 Panic Test. For 
each zone you Control among [CROWN] 
and [MONEY] they suffer -1 to their roll.

On a failure, until the end of the Turn, 
they cannot be targeted by friendly 
Tactics cards and lose all Abilities.",40107,,2021-S03
Lannister,"Jaime Lannister, The Kingslayer",20115,"Kingslayer's
Renown","**When a friendly unit in Long
Range of Jaime Lannister's
unit is performing a Morale
Test, after rolling dice:**

This unit passes that Test.

If this is Jaime's unit, it also 
restores 2 Wounds. /
**Start of any Turn:**

Draw 1 Tactics card.",40108,,2021-S03
Lannister,"Jaime Lannister, The Kingslayer",20115,"Kingslayer's
Prowess","**When Jaime Lannister's unit
is performing a Melee Attack,
before rolling Attack Dice:**

This Attack rolls its highest
Attack Die Value, may re-roll
any Misses, and the Defender
becomes **Vulnerable**. /
**Start of any Turn:**

Draw 1 Tactics card.",40109,,2021
Lannister,"Jaime Lannister, The Kingslayer",20115,"Kingslayer's
Infamy","**When an enemy in Long Range of
Jaime Lannister's unit Activates:**

That enemy become **Panicked** 
and then suffers 1 Panic Test.

On a failure, that enemy also 
becomes **Weakened**. /
**Start of any Turn:**

Draw 1 Tactics card.",40110,,2021-S03
Lannister,"Gregor Clegane, The Mountain",20116,Overrun,"**When a friendly unit Surges Forth:**

Instead of Surging Forth, that unit performs 1 Charge or March Action.

If this targets a House Clegane unit, it may re-roll any Charge Distance Dice.",40111,,S04
Lannister,"Gregor Clegane, The Mountain",20116,"Assault
Orders","**When a friendly NCU Claims a zone:**

Replace that zone's effect with:

<i>1 friendly Combat Unit performs 1 Melee Attack Action using its lowest Attack Die Value.</i>

<i>If this targets a House Clegane unit, it may perform 1 Charge Action using its lowest Attack Die Value instead.</i>",40112,,S06
Lannister,"Gregor Clegane, The Mountain",20116,"Price of
Failure","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

All Attack Dice rolls automatically
Hit for this Attack. 

After this attack is completed, if the
Defender was not destroyed, the
Attacker becomes **Panicked**
and **Vulnerable**.",40113,,2021-S03
Lannister,"Tywin Lannister, Lord of Casterly Rock",20104,"Exploit
Weakness","**When a friendly unit is 
performingan Attack, before 
rolling Attack Dice:**

The Defender becomes **Vulnerable**.

If the Defender is **Weakened**, 
the Attacker may re-roll 
any Attack Dice.",40114,,2021-S03
Lannister,"Tywin Lannister, Lord of Casterly Rock",20104,"Broken
Resolve","**When an enemy Combat 
Unit fails a Morale Test:**

That enemy becomes **Weakened**.

Attach this card to that enemy 
until they pass a Morale Test.

While this card is attached, each 
time this unit Activates, it 
becomes **Weakened**.
",40115,,2021-S03
Lannister,"Tywin Lannister, Lord of Casterly Rock",20104,"Issue
Commands","**When your Commander's
unit Activates:**

This unit cannot perform Actions
this Turn. Instead, target 1 other
friendly unit in Long Range. It
performs 1 Attack or Charge Action. /
**Start of any Turn:**
Target 1 friendly Combat Unit.
Remove 1 Order token from
that unit. They may use that
Order again this Round.",40116,,2021
Lannister,"Tyrion Lannister, Halfman",20105,False Agenda,"**When an enemy NCU Activates:**

If that NCU Claims a zone this
Turn, after resolving that zone's
effect, you may move that NCU
to any unclaimed zone.

If you removed that NCU
from [LETTER], target 1 enemy Combat
Unit. They gain 1 Condition token.",40117,,2021
