Id,Deck,Name,Text,Version
40101,Lennister Basisdeck,Ränkespiele und Intrigen,"**Sobald eine feindliche zivile Einheit aktiviert wird:**

Jene zivile Einheit verliert bis zum Ende der Runde alle Fähigkeiten.

Falls du [MONEY] kontrollierst, bestimme 1 feindliche Kampfeinheit zum Ziel. Jener Feind wird **Geschwächt**.",2021
40102,Lennister Basisdeck,Ein Lennister zahlt stets seine Schulden,"**Zu Beginn eines beliebigen Zuges:**

Bestimme 1 befreundete Kampfeinheit zum Ziel und lege diese Karte bis zum Ende der Partie an sie an. Sobald eine befreundete Infanterie- oder Kavallerie-Einheit vernichtet wird, lege 1 **Befehlsmarker** auf diese Karte. 

Solange auf dieser Karte ein **Befehlsmarker** liegt, erhalten die Nahkampfangriffe der angelegten Einheit **Grausam** und, solange du [CROWN] kontrollierst, +1 auf den Trefferwurf.",2021
40103,Lennister Basisdeck,Hört mich brüllen!,"**Sobald ein Feind eine Moralprobe ablegt, bevor die Würfel geworfen werden:**

Jener Feind erleidet –1 auf das Ergebnis der Moralprobe und zusätzlich –1 für jede ihrer vernichteten Schlachtreihen.

Bei einem Fehlschlag erleidet er 1 **Wunde** *(oder +1 **Wunde**, wenn er an einer Panikprobe scheitert)*.",2021
40104,Lennister Basisdeck,Bestechung,"**Sobald eine befreundete zivile Einheit eine Zone auf der Taktiktafel beansprucht:**

Ersetze den Effekt jener Zone durch:

*Bestimme 1 feindliche Kampfeinheit zum Ziel und lege diese Karte an sie an, bis sie eine Moralprobe besteht oder zum Ziel von [MONEY] bestimmt wird.*
Solange diese Karte an jener Einheit anliegt, verwendet sie ihren niedrigsten Angriffswürfelwert und erleidet –1 auf das Ergebnis von Moralproben.",2021-S03
40105,Lennister Basisdeck,Gegenkomplott,"**Sobald ein Gegner eine Taktikkarte spielt, bevor jene Karte abgehandelt wird:**

Wirf einen Würfel. Bei 3+ hebst du die Effekte jener Taktikkarte auf.
Falls du [CROWN] oder [MONEY] kontrollierst, hebst du die Effekte jener Taktikkarte bei 2+ auf. 
Falls du beide Zonen kontrollierst, ist der Wurf automatisch erfolgreich.",2021-S03
40106,Lennister Basisdeck,Loyal zur Krone,"**Sobald ein Feind an einer Panikprobe scheitert:**

Bestimme 1 befreundete Einheit innerhalb **Langer Reichweite** zum Ziel. Heile 1 **Wunde** jener befreundeten Einheit für jede **Wunde**, die jener Feind bei dieser Probe erlitten hat, aber maximal bis zu 3.
Falls du [CROWN] kontrollierst, füge der feindlichen Einheit +1 **Wunde** zu und heile +1 **Wunde** der befreundeten Einheit  *(aber maximal bis zu 4)*.",2021-S03
40107,Lennister Basisdeck,Machtunterwerfung,"**Sobald eine feindliche Kampfeinheit aktiviert wird:**

Jener Feind muss eine Panikprobe ablegen. Für jede Zone, die du zwischen [CROWN] und [MONEY] kontrollierst, erleidet er –1 auf das Ergebnis der Panikprobe.
Bei einem Fehlschlag kann er bis zum Ende des Zuges nicht zum Ziel von befreundeten Taktikkarten bestimmt werden und verliert alle Fähigkeiten.",2021-S03
40108,Jaime Lennister,Ruf des Königsmörders,"**Sobald eine befreundete Einheit innerhalb Langer Reichweite zu Jaime Lennisters Einheit eine Moralprobe ablegt, nachdem die Würfel geworfen worden sind:**

Diese Einheit besteht diese Moralprobe. Falls sie Jaime Lennisters Einheit ist, heilt sie zudem 2 **Wunden**. /
**Zu Beginn eines beliebigen Zuges:**

Ziehe 1 Taktikkarte.",2021-S03
40109,Jaime Lennister,Geschick des Königsmörders,"**Sobald Jaime Lennisters Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**

Dieser Angriff verwendet seinen höchsten Angriffswürfelwert, alle Fehlschläge dürfen neu geworfen werden und der Verteidiger wird **Verwundbar**. /

**Zu Beginn eines beliebigen Zuges:**

Ziehe 1 Taktikkarte.",2021
40110,Jaime Lennister,Ruchlosigkeit des Königsmörders,"**Sobald ein Feind innerhalb Langer Reichweite zu Jaime Lennisters Einheit aktiviert wird:**

Jener Feind wird **Panisch** und muss dann 1 Panikprobe ablegen. 
Bei einem Fehlschlag wird jener Feind zudem **Geschwächt**. /
**Zu Beginn eines beliebigen Zuges:** 

Ziehe 1 Taktikkarte.",2021-S03
40111,Gregor Clegane,Überrennen,"**Sobald eine befreundete Einheit nachsetzt:**

Statt nachzusetzen, führt diese Einheit 1 Ansturmaktion durch. 

Falls diese Karte eine Haus-Clegane-Einheit zum Ziel hat, darf sie alle Würfel für die Bewegungsweite des Ansturms neu werfen.",2021
40112,Gregor Clegane,Angriffsbefehle,"**Sobald eine befreundete zivile Einheit eine Zone auf der Taktiktafel beansprucht:**

Ersetze den Effekt jener Zone durch:

*1 befreundete Kampfeinheit führt 1 Nahkampfangriffsaktion durch.*

*Falls diese Karte eine Haus- Clegane-Einheit zum Ziel hat, darf sie stattdessen 1 Ansturmaktion durchführen.*",2021
40113,Gregor Clegane,Der Preis des Versagens,"**Sobald eine befreundete Einheit einen Angriff durchführt, bevor die Angriffswürfel geworfen werden:**

Alle Ergebnisse des Angriffswurfs dieses Angriffs sind automatische Treffer. Nachdem dieser Angriff abgeschlossen worden ist, falls der Verteidiger nicht vernichtet wurde, wird der Angreifer **Panisch** und **Verwundbar**.",2021-S03
40114,Tywin Lennister,Schwäche ausnutzen,"**Sobald eine befreundete Einheit einen Angriff durchführt, bevor die Angriffswürfel geworfen werden:**

Der Verteidiger wird **Verwundbar**. Falls der Verteidiger **Geschwächt** ist, darf der Angreifer beliebig viele Angriffswürfel neu werfen.",2021-S03
40115,Tywin Lennister,Entschlossenheit brechen,"**Sobald eine feindliche Kampfeinheit an einer Moralprobe scheitert:**

Jener Feind wird **Geschwächt**.
Lege diese Karte an jenen Feind an, bis er eine Moralprobe besteht.
Solange diese Karte an jenem Feind anliegt, immer wenn diese Einheit aktiviert wird, wird er **Geschwächt**.",2021-S03
40116,Tywin Lennister,Befehle erteilen,"**Sobald die Einheit deines Heerführers aktiviert wird:**

Diese Einheit kann in diesem Zug keine Aktionen durchführen. Bestimme stattdessen 1 andere befreundete Einheit innerhalb **Langer Reichweite** zum Ziel. Sie führt eine Angriffs- oder Ansturmaktion durch. /

**Zu Beginn eines beliebigen Zuges:** 

Bestimme 1 befreundete Kampfeinheit zum Ziel. Lege 1 **Befehlsmarker** von jener Einheit ab. Sie darf jenen Befehl in dieser Runde erneut verwenden.",2021
40117,Tyrion Lennister,Trügerische Absichten,"**Sobald eine feindliche zivile Einheit aktiviert wird:**

Falls jene zivile Einheit in diesem Zug eine Zone auf der Taktiktafel beansprucht, nachdem der Effekt jener Zone abgehandelt worden ist, darfst du jene zivile Einheit auf eine beliebige unbeanspruchte Zone bewegen. 

Falls du jene zivile Einheit von der [LETTER]-Zone entfernt hast, bestimme 1 feindliche Kampfeinheit zum Ziel. Sie erhält 1 Zustandsmarker.",2021
40118,Tyrion Lennister,Raffinierte List,"**Sobald eine befreundete Kampfeinheit aktiviert wird:**

Diese Einheit kann in diesem Zug keine Aktionen durchführen. Bestimme stattdessen 1 andere befreundete Kampfeinheit zum Ziel. Sie führt 1 Manöver-, Marsch- oder Rückzugsaktion durch.
Falls eine der beiden Einheiten Tyrions Einheit ist, bevor diese Aktion durchgeführt wird, wird ein Feind innerhalb **Langer Reichweite** zu Tyrions Einheit **Verwundbar**.",2021-S03
40119,Tyrion Lennister,Abgefangene Befehle,"**Sobald ein Gegner eine Einheit zum Ziel einer Taktikzone bestimmt:**

Wirf einen Würfel: Bei 3+ muss dein Gegner eine andere Einheit zum Ziel des Effekts jener Taktikzone bestimmen *(falls möglich)*.
Falls du [LETTER] kontrollierst, darfst du diesen Würfel neu werfen.
Falls die neu zum Ziel bestimmte Einheit innerhalb **Langer Reichweite** zu Tyrions Einheit ist, erhält sie einen Zustandsmarker. ",2021-S03
40120,Der Hohe Spatz,Gnade der Mutter,"**Sobald eine befreundete Kampfeinheit aktiviert wird:**

Jene Einheit legt 1 Moralprobe ab. 

Bei Bestehen heilt jene Einheit 2 **Wunden**, +1 **Wunde** für jede ihrer vernichteten Schlachtreihen. 

Bei einem Fehlschlag heilt jene Einheit 1 **Wunde**.",2021
40121,Der Hohe Spatz,Schutz des Vaters,"**Sobald ein Feind einen Nahkampfangriff durchführt, nachdem die Verteidigungswürfel geworfen worden sind:**

Der Verteidiger legt 1 Moralprobe ab. 

Bei Bestehen darf er beliebig viele Verteidigungswürfel neu werfen.

Bei einem Fehlschlag wehrt er +1 Treffer ab.",2021
