Id,Deck,Name,Text,Version
40101,Paquet de Base Lannister,"Intrigue et 
faux-semblants","**Quand une UNC ennemie est activée :**

Cette UNC perd toutes ses
Capacités jusqu’à la fin du round.

Si vous contrôlez [MONEY], ciblez
1 Unité Combattante ennemie.
Elle devient **Affaiblie**.",2021
40102,Paquet de Base Lannister,"Un Lannister
paie toujours
ses dettes","**Au début de n’importe quel tour :**

Ciblez 1 Unité Combattante alliée et
attachez-lui cette carte jusqu’à la fin de
la partie. Quand une unité de Cavalerie
ou d’Infanterie alliée est détruite,
placez 1 pion Ordre sur cette carte.

Tant que cette carte est pourvue d’un
pion, les Attaques de Mêlée de l’unité
attachée gagnent **Cruel** et, tant que
contrôlez [CROWN], +1 pour Toucher.",2021
40103,Paquet de Base Lannister,Je Rugis !,"**Quand un ennemi effectue un Test
de Moral, avant de lancer les dés :**

Cet ennemi subit −1 à son lancer,
et −1 supplémentaire pour chacun
de ses rangs détruits. S’il échoue,
il subit 1 Blessure *(ou +1 Blessure
lors d’un test de Panique échoué)*.",2021
40104,Paquet de Base Lannister,Pot-de-Vin,"**Quand une UNC alliée
s’empare d’une zone :**

Remplacez l’effet de cette zone par :

*Ciblez 1 Unité Combattante ennemie
et attachez-lui la carte Pot-de-vin
jusqu’à ce qu’elle réussisse un Test de
Moral ou qu’elle soit ciblée par [MONEY]*.

Tant que cette carte est attachée, cette
unité attaque en utilisant sa valeur
de dés d’Attaque la plus basse.",2021
40105,Paquet de Base Lannister,Contre-complot,"**Quand un adversaire joue une carte
Tactique, avant de résoudre celle-ci :**

Lancez 1 dé : Sur un résultat de 3+,
annulez les effets de la carte Tactique.

Si vous contrôlez [CROWN], vous
pouvez relancer ce dé.",2021
40106,Paquet de Base Lannister,"Allégeance à
la Couronne","**Quand un ennemi échoue
un Test de Panique :**

Ciblez 1 unité alliée située à Longue
Portée ou moins. Pour chaque
Blessure que cet ennemi a subie lors
de ce Test, soignez 1 Blessure de
l’unité alliée ciblée, maximum 3.

Si vous contrôlez [CROWN], soignez 1 Blessure
supplémentaire *(maximum 4)*.",2021
40107,Paquet de Base Lannister,"Assujetissement
au pouvoir","**Quand une Unité Combattante
ennemie est activée :**

Cet ennemi effectue un Test de Moral.
Pour chaque zone que vous contrôlez
entre [CROWN] et [MONEY], il subit −2 à son lancer.

S’il échoue, jusqu’à la fin du
tour, il ne peut plus être ciblé
par des cartes Tactique alliées et
perd toutes ses Capacités.",2021
40108,"Jaime Lannister, Le Régicide","La réputation
du Régicide","**S’il échoue, jusqu’à la fin du
tour, il ne peut plus être ciblé
par des cartes Tactique alliées et
perd toutes ses Capacités :**

Cette unité réussit son Test. /
**Au début de n’importe quel tour :**

Piochez 1 carte Tactique.",2021
40109,"Jaime Lannister, Le Régicide","La prouesse
du Régicide","**Quand l’unité de Jaime Lannister
effectue une Attaque de Mêlée,
avant de lancer les dés d’Attaque :**

Cette attaque lance sa valeur de dés la
plus élevée, peut relancer tous les Échecs
et le défenseur devient **Vulnérable**. /
**Au début de n’importe quel tour :**

Piochez 1 carte Tactique.",2021
40110,"Jaime Lannister, Le Régicide","L'infamie
du Régicide","**Quand un ennemi situé à Longue
Portée ou moins de l’unité de
Jaime Lannister est activé :**

Cet ennemi subit 1 Test de Panique.
S’il est engagé avec l’unité de Jaime
Lannister, il devient également **Paniqué**.

S’il échoue, cet ennemi
devient aussi **Affaibli**. /
**Au début de n’importe quel tour :**

Piochez 1 carte Tactique.",2021
40111,"Gregor Clegane, La Montagne",Débordement,"**Quand une unité alliée
effectue une Percée :**

Au lieu de faire une Percée, cette
unité effectue 1 action de Charge.

Si cette carte cible une unité
de la Maison Clegane, celle-ci
peut relancer n’importe quels
dés de Distance de Charge.",2021
40112,"Gregor Clegane, La Montagne","Ordres
d'assaut","**Quand une UNC alliée
s’empare d’une zone :**

Remplacez les effets de cette zone par :

*1 Unité Combattante alliée effectue
1 action d’Attaque de Mêlée.*

*Si cette carte cible une unité de la
Maison Clegane, celle-ci peut effectuer
1 action de Charge à la place.*",2021
40113,"Gregor Clegane, La Montagne","Le prix de
l'échec","**Quand une unité alliée effectue
une attaque, avant de lancer
les dés d’Attaque :**

Tous les résultats des dés de cette
attaque Touchent automatiquement.
Pour chaque résultat qui aurait
normalement dû être un Échec,
l’attaquant subit 1 Blessure.",2021
40114,"Tywin Lannister, Seigneur de Castral Roc","Exploiter
La faiblesse","**Quand une unité alliée effectue
une attaque, avant de lancer
les dés d’Attaque :**

Vous pouvez dépenser 1 pion **Affaibli**
du défenseur. Si vous le faites, il devient
**Paniqué**, **Vulnérable** et, si l’attaquant
est l’unité de Tywin, il peut relancer
n’importe quels dés d’Attaque.",2021
40115,"Tywin Lannister, Seigneur de Castral Roc","Volonté
brisée","**Quand un ennemi Affaibli est activé :**

Attachez cette carte à cet ennemi jusqu’à
ce que le pion **Affaibli** soit retiré.

Tant que cette carte est attachée,
cette unité subit −2 à ses
lancers de Tests de Moral.",2021
40116,"Tywin Lannister, Seigneur de Castral Roc","Donner des
ordres","**Quand l’unité de votre
Général est activée :**

Cette unité ne peut pas effectuer
d’action ce tour-ci. À la place, ciblez
1 autre unité alliée située à Longue
Portée ou moins. Elle effectue
1 action d’Attaque ou de Charge. /
**Au début de n’importe quel tour :**

Ciblez 1 unité Combattante alliée.
Retirez 1 pion Ordre de cette
unité. Elle peut utiliser cet Ordre
une nouvelle fois ce round-ci.",2021
40117,"Tyrion Lannister, Le Mi-Homme",Objectif trompeur,"**Quand une UNC ennemie est activée :**

Si cette UNC s’empare d’une zone
ce tour-ci, après avoir résolu l’effet
de cette dernière, vous pouvez
déplacer cette UNC sur n’importe
quelle autre zone libre.

Si vous avez déplacé cette UNC
depuis [LETTER], ciblez 1 Unité Combattante
ennemie. Elle gagne 1 pion État.",2021
40118,"Tyrion Lannister, Le Mi-Homme",Habile stratagème,"**Quand une Unité Combattante
alliée est activée :**

Cette unité ne peut pas effectuer d’action
ce tour-ci. À la place, ciblez 1 autre
unité alliée. Elle effectue 1 action soit de
Manœuvre, soit de Marche, soit de Repli.

Si vous contrôlez [LETTER], avant que
cette unité n’effectue son action,
1 ennemi situé à Longue Portée
ou moins devient **Vulnérable**.",2021
40119,"Tyrion Lannister, Le Mi-Homme","Intercepter
les ordres","**Quand un adversaire cible une
unité avec une zone Stratégique :**

Lancez un dé. Sur un résultat de 3+,
votre adversaire doit cibler une
unité différente avec l’effet de
cette zone *(si possible)*.

Si vous contrôlez [LETTER],
vous pouvez relancer ce dé.",2021
40120,"Le Grand Moineau, Sa Sainteté Suprême","Miséricorde
de la Mère","**Quand une Unité Combattante
alliée est activée :**

Cette unité effectue 1 Test de Moral.

Si elle réussit, soignez 2 Blessures
de cette unité, +1 par chacun
de ses rangs détruits.

Si elle échoue,
soignez 1 de ses Blessures.",2021
40121,"Le Grand Moineau, Sa Sainteté Suprême","Protection 
du Père","**Quand un ennemi effectue une
Attaque de Mêlée, après avoir
lancé les dés de Défense :**

Le défenseur effectue 1 Test de Moral.
S’il réussit, il peut relancer n’importe
quels dés de Défense. S’il échoue,
il bloque +1 Touche.",2021
40122,"Le Grand Moineau, Sa Sainteté Suprême","Colère du
Guerrier","**Quand une unité alliée effectue
une Attaque de Mêlée, avant
de lancer les dés d’Attaque :**

Si elle réussit, cette attaque gagne +1
pour Toucher et **Fracasser**. Si elle échoue,
cette attaque inflige +1 Touche.",2021
40123,"Joffrey Baratheon, Premier du Nom","Vous allez
m'obéir !","**Quand une unité alliée effectue
une Attaque de Mêlée, avant
de lancer les dés d’Attaque :**

Cette attaque gagne +2 dés
d’Attaque et **Fracasser**.

Pour chaque Échec, l’attaquant subit
1 Blessure. S’il ne détruit pas le défenseur,
il devient également **Paniqué**.",2021
40124,"Joffrey Baratheon, Premier du Nom","Traîtres !
J'aurai leurs
têtes !","**Au début d’un tour allié :**

Ciblez 1 Unité Combattante ennemie
et attachez-lui cette carte.

Tant que cette carte est attachée, les
Attaques de Mêlée alliées effectuées
sur cette unité gagnent **Cruel**.

la fin du round, si cet ennemi
n’a pas été détruit, retirez-lui cette
carte. Chacune de vos unités alliées
situées à Courte Portée ou moins
devient **Paniquée** and **Vulnérable**.",2021
40125,"Joffrey Baratheon, Premier du Nom",Je suis le Roi !,"**Quand un ennemi effectue une
Attaque de Mêlée, après le
lancer des dés de Défense :**

Ciblez le défenseur. Il bloque
+2 Touches. Après que cette
attaque a été résolue, le défenseur
devient **Paniqué** and **Affaibli**.",2021
40126,"Addam Marpheux, Commandant du Guet","Diriger
avec charisme","**Quand une unité alliée est ciblée par un
Ordre ennemi, une UNC ou une zone
Stratégique, avant de résoudre l’effet :**

Cette unité effectue 1 Test de Moral.
En cas de réussite, annulez l’effet de cet
Ordre, UNC, ou zone Stratégique.

Si cette unité est située à Courte Portée
ou moins de celle d’Addam Marpheux,
elle gagne +2 à son Test de Moral.",2021
40127,"Addam Marpheux, Commandant du Guet","Retour
de bâton","**Après qu’un ennemi a résolu
une Attaque de Mêlée :**

Si le défenseur n’a pas été détruit,
l’attaquant subit 2 Blessures pour
chaque rang détruit du défenseur. Si le
défenseur est l’unité d’Addam Marpheux,
l’attaquant devient également **Paniqué**.",2021
40128,"Addam Marpheux, Commandant du Guet","Exemple
de vaillance","**Après que l’unité d’Addam Marpheux
a réussi un Test de Moral :**

Toutes les autres unités alliées situées
à Longue Portée ou moins soignent
1 de leurs Blessures, +1 pour chaque
rang détruit dans l’unité d’Addam.

Ensuite, soignez 2 Blessures
de l’unité d’Addam. /
**Au début de n’importe quel tour :**

Piochez une carte Tactique.",2021
40129,"Kevan Lannister, Protecteur du Royaume","Manœuvres 
prévisibles","**Au début d’un tour ennemi :**

Ciblez 1 Unité Combattante
ennemie et 1 UNC ennemie.

Si l’une ou l’autre de ces unités effectue
une action ce tour-ci, avant de résoudre
celle-ci, 1 Unité Combattante alliée
effectue 1 action d’Attaque,
de Manœuvre ou de Repli.",2021
40130,"Kevan Lannister, Protecteur du Royaume","Trouver
la faille","**Après qu’une Unité Combattante
ennemie a résolu une action :**

Cet ennemi devient
**Vulnérable** et **Paniqué**.

Attachez cette carte à cet ennemi jusqu’à
la fin du round. Tant que cette carte
est attachée, quand l’unité de Kevan
Lannister attaque cet ennemi, celui-ci
perd toutes ses Capacités et ne peut pas
être ciblé par des cartes Tactique alliées.",2021
40131,"Kevan Lannister, Protecteur du Royaume","La richesse
du Roc","**Quand un ennemi effectue une attaque,
après avoir lancé les dés d’Attaque :**

Ciblez le Défenseur.

Si vous contrôlez [CROWN], le défenseur gagne
+2 à son lancer de Test de Panique.

Si vous contrôlez [MONEY],le défenseur gagne
+1 à ses lancers de dés de Défense.

Si la cible est l’unité de Kevan
Lannister, vous comptez comme
contrôlant les deux zones.",2021
40201,Paquet de Base Stark,Force de l'hiver,"**Quand une unité alliée effectue
une Attaque de Mêlée, avant
de lancer les dés d’Attaque :**

Cette attaque gagne **Fracasser**.

Si cette unité ne possède plus qu'un seul rang restant, elle peut relancer n'importe quels dés d'Attaque,

Si vous contrôlez [SWORDS], cette attaque
utilise sa valeur de dés d’Attaque la plus élevée.",2021-S01
40202,Paquet de Base Stark,Férocité Nordienne,"**Quand une unité alliée effectue
une Attaque de Mêlée, avant
de lancer les dés d’Attaque :**

Cette attaque gagne **Cruel**.

Si cette unité ne possède plus qu'un seul rang restant, et que le défenseur échoue son Test de Panique, il subit +2 Blessures. Si vous contrôlez [SWORDS], le défenseur devient **Paniqué**.",2021-S01
40203,Paquet de Base Stark,"Impact
dévastateur","**Quand une unité alliée effectue une
action de Charge, avant de lancer
les dés de Distance de Charge :**

Les ennemis Chargés avec succès par cette unité deviennent **Paniqués** et **Vulnérables**.

Si vous contrôlez [HORSE], cette unité peut
relancer n'importe quels dés de
Distance de Charge.",2021
40204,Paquet de Base Stark,"Le Nord
se souvient","**Au début de n'importe quel tour :**

Ciblez une Unité Combattante alliée et
attachez-lui cette carte jusqu’à la fin de
la partie. Quand une unité d’Infanterie
ou de Cavalerie alliée est détruite,
placez 1 pion Ordre sur cette carte.

Tant que cette carte est pourvue d’un
pion Ordre, l’unité à laquelle elle est
attachée utilise toujours sa valeur
de dés d’Attaque la plus élevée et,
tant que vous contrôlez [SWORDS], elle est
considérée comme obtenant 6 sur
tous ses dés de Distance de Charge.",2021
40205,Paquet de Base Stark,L'hiver vient,"**Quand une unité alliée effectue une
action de Charge, avant de lancer
les dés de Distance de Charge :**

Les ennemis Chargés avec succès
par cette unité ne peuvent pas
être ciblés par des Ordres ou des
cartes Tactique alliés ce tour-ci.

Si vous contrôlez [HORSE], cette unité peut
n'importe quels dés de Distance de Charge.",2021
40206,Paquet de Base Stark,Repositionnement éclair,"**Au début de n’importe quel tour :**

Ciblez 1 Unité Combattante
alliée. Elle se décale de 2’’.

Si vous contrôlez [HORSE], cette
unité effectue une action de
Manœuvre de 3’’ à la place.",2021
40207,Paquet de Base Stark,Ordres d'assaut,"**Quand une UNC alliée
s’empare d’une zone :**

Remplacez l’effet de cette zone par :

*1 Unité Combattante alliée effectue
1 action d’Attaque de Mêlée.*

*Si cette UNC s’est emparée de [SWORDS],
cette Unité Combattante peut effectuer
1 action de Charge à la place.*",2021
40208,"Robb Stark, Le Seigneur Loup","Retraite
soudaine","**Après qu’un ennemi a résolu
une Attaque de Mêlée :**

Ciblez le défenseur. Il effectue
1 action de Repli.

Si cette carte cible l’unité de Robb
Stark, celle-ci peut relancer n’importe
quels dés de Distance de Repli.",2021
40209,"Robb Stark, Le Seigneur Loup","Position
supérieure","**Quand un ennemi effectue une action
de Charge, avant de résoudre celle-ci :**

Si cet ennemi Charge une unité de
Front, il subit une Charge Désordonnée
sur des lancers de Distance de Charge
de 3 ou moins. S’il subit une Charge
Désordonnée, il devient **Vulnérable**.",2021
40210,"Robb Stark, Le Seigneur Loup",Harcèlement,"**Après qu’une unité alliée a résolu
une Attaque de Mêlée :**

Si cette unité a commencé le tour
engagée avec le défenseur, elle
effectue 1 action de Repli.

Si cette carte cible l’unité de
Robb Stark, chaque ennemi duquel
elle se désengage devient **Affaibli**.",2021
40211,"Lard-Jon Omble, Seigneur d'Âtre-Lès-Confins",Tactiques de Berserker,"**Quand une unité alliée effectue
une Attaque de Mêlée, après
avoir lancé les dés d’Attaque :**

Si cette carte cible une unité de la Maison 
Omble, le défenseur devient **Paniqué**.

Cette unité peut subir jusqu'à 3 Blessures. Si elle en subit, cette attaque inflige un nombre de Blessures égal à 1+ la valeur subie.",2021-S01
40212,"Lard-Jon Omble, Seigneur d'Âtre-Lès-Confins","Retour
de bâton","**Après qu’un ennemi a résolu
une Attaque de Mêlée :**

Si le défenseur n’a pas été détruit,
l’attaquant subit 2 Blessures pour
chaque rang détruit du défenseur.
Si le défenseur est une unité de la
Maison Omble, l’attaquant devient
Également **Paniqué**.",2021
40213,"Lard-Jon Omble, Seigneur d'Âtre-Lès-Confins",Pas sans combattre,"**Quand une unité alliée est détruite :**

Avant d’être retirée, cette unité effectue
1 Attaque de Mêlée qui utilise sa valeur
de dés la plus élevée. Si cette carte cible
une unité de la Maison Omble, elle peut
relancer n’importe quels dés d’Attaque.",2021
40214,"Brynden Tully, Le Silure","Recevoir
la charge","**Quand une unité alliée est Chargée
avec succès, avant que l’attaquant
n’effectue son Attaque de Mêlée :**

Si cette unité n’était pas engagée avec un
autre ennemi, et qu’elle a été Chargée de
Front ou de Flanc, elle effectue 1 action
d’Attaque de Mêlée sur l’attaquant avant
que celui-ci ne résolve son attaque.",2021
40215,"Brynden Tully, Le Silure","Refuser de se
soumettre","**Quand une unité alliée réussit
un Test de Panique :**

Tous les ennemis engagés avec cette
unité deviennent **Vulnérable**. Attachez
cette carte à cette unité jusqu’à ce
qu’elle échoue un Test de Panique.

Tant que cette carte est attachée,
chaque fois que cette unité réussit
un Test de Panique, tous les ennemis
engagés avec elle deviennent 
**Vulnérables**. Si cette carte est
attachée à une unité de la Maison
Tully, cette dernière gagne +1 à
ses lancers de Test de Panique.",2021
40216,"Brynden Tully, Le Silure","Cri de
Guerre","**Quand une unité alliée est activée :**

Cette unité effectue 1 Test de Moral.

Si elle réussit, ciblez 1 ennemi situé à Longue Portée ou moins. Il devient **Paniqué** ou **Vulnérable**.",2021-S02
40217,"Eddard Stark, Seigneur de Winterfell","Bravade
Nordienne","**Quand une unité alliée effectue un Test
de Panique, après avoir lancé les dés :**

Cette unité peut relancer n’importe quels
dés de ce test. Si elle se trouve à Courte
Portée ou moins d’Eddard Stark, elle
réussit ce test au lieu de relancer les dés.

Si cette carte cible l’unité d’Eddard Stark,
ciblez 1 ennemi avec qui elle est
engagée. Il subit 1 Blessure, +1 pour
chaque rang détruit de cette unité.",2021
40218,"Eddard Stark, Seigneur de Winterfell","Mener par
l'exemple","**Après que l’unité d’Eddard
Stark a résolu une attaque :**

Jusqu’à la fin du round, attachez
cette carte à 1 autre unité alliée
située à Longue Portée ou moins.

Tant que cette carte est attachée,
cette unité gagne +2 à ses lancers
de Test de Moral et ses Attaques de
Mêlée gagnent +1 pour Toucher.. /
**Au début d’un tour allié :**

Piochez 1 carte Tactique.",2021
40219,"Eddard Stark, Seigneur de Winterfell","Pour ceux qui
sont tombés","**Après qu’un ennemi a résolu
une Attaque de Mêlée :**

Ciblez l’unité d’Eddard Stark. Elle
effectue 1 action d’Attaque ou de
Charge. Si le défenseur a été détruit,
l’unité d’Eddard peut relancer
n’importe lesquels de ses dés
d’Attaque ou de Distance de Charge. /
**Au début d’un tour allié :**

Piochez 1 carte Tactique.",2021
40220,"Rodrik Cassel, Maître d'Armes","Prouesse
guerrière","**Quand un ennemi est ciblé par une
Capacité ou une carte Tactique :**

Vous pouvez dépenser 1 pion
État sur cet ennemi. Si vous le
faites, annulez les effets de cette
Capacité ou carte Tactique. /
**Au début d’un tour allié :**

Ciblez 1 Unité Combattante
alliée engagée. Retirez 1 pion
État de cette unité.",2021
40221,"Rodrik Cassel, Maître d'Armes","Supériorité
martiale","**Quand une unité ennemie effectue
une Attaque de Mêlée, avant
de lancer les dés d’Attaque :**

Vous pouvez dépenser 1 pion
**Vulnérable** sur l’attaquant. Si vous
le faites, cette attaque subit −1
pour Toucher et l’attaquant subit
1 Touche pour chaque Échec.",2021
40222,"Rodrik Cassel, Maître d'Armes","Prendre
l'avantage","**Quand une unité alliée effectue
une attaque, avant de lancer
les dés d’Attaque :**

Si le défenseur est **Paniqué**, cette attaque
lance sa valeur de dés la plus élevée.

Si le défenseur est **Vulnérable**, cette
attaque gagne +1 au Toucher.

Si le défenseur est **Affaibli**, il perd
toutes ses Capacités et ne peut plus
être ciblé par des cartes Tactique
alliées jusqu’à la fin du tour.",2021
40223,"Howland Reed, Seigneur des Paluds","Piège des
Paluds","**Quand une unité ennemie est activée :**

Si cet ennemi se trouve à Longue Portée
ou moins d’une unité de Paludiers
alliée, il subit −1[MOVEMENT] ce tour-ci.

Ciblez 1 élément de Terrain.
Jusqu’à la fin du round, les ennemis
considèrent ce Terrain comme étant
doté du mot-clé Dangereux.",2021
40224,"Howland Reed, Seigneur des Paluds","Embuscade
des Diables
des Marais","**Quand une unité ennemie est activée :**

Choisissez 1 option :

• Si cet ennemi se trouve à Longue
Portée ou moins d’une unité de
Paludiers alliée, il devient **Affaibli**.

• Ciblez 1 unité de Paludiers alliée
non-activée située à Longue Portée
ou moins. Elle effectue 1 Attaque
à Distance sur cet ennemi.",2021
40225,"Howland Reed, Seigneur des Paluds","La menace
invisible","**Au début de n’importe quel tour :**

Ciblez 1 Unité Combattante ennemie.

Si une unité de Paludiers alliée
non-engagée se trouve à Longue Portée
ou moins de cet ennemi sans être dans
sa Ligne de Vue, cet ennemi devient
**Paniqué**, puis subit 1 Test de Panique.",2021
40226,"Brynden Tully, Commandant de la Cavalerie","Attaque
montée","**Quand une Unité de Cavalerie
alliée choisit son action lors de son
activation, avant de résoudre celle-ci :**

Pour son action, cette unité peut
effectuer un pivot, puis 1 action de
Marche, même si elle est engagée. Elle
peut traverser les ennemis au cours de
cette Marche. Les ennemis desquels elle
se désengage ne peuvent pas pivoter.

Une fois cette Marche résolue, 1 ennemi
traversé subit 1 Blessure, +1 par rang
restant dans cette unité ennemie.",2021
40227,"Brynden Tully, Commandant de la Cavalerie",Piétinez-les !,"**Quand un ennemi termine une action
de Manœuvre, de Marche ou de Repli :**

Ciblez 1 Unité de Cavalerie alliée
située à Longue Portée ou moins
capable de Charger cet ennemi.

Elle effectue 1 action de Charge
sur cet ennemi. Si elle réussit sa
Charge, au lieu d’effectuer une
Attaque de Mêlée, cet ennemi
devient **Paniqué** et subit 2 Touches
par rang restant dans cette unité.",2021
40228,"Brynden Tully, Commandant de la Cavalerie",Rassemblement,"**Quand une Unité de Cavalerie
alliée non engagée est activée :**

Une fois ce tour-ci, si cette unité
doit effectuer une action de
Manœuvre, elle peut soigner 3 de
ses Blessures et retirer 1 pion État
au lieu d’effectuer cette action.",2021
