Faction,Name,Character,Cost,Type,Spd,Attack 1,,,Attack 2,,,Def,Moral,Abilities,Requirements,Boxes,Id,Version,Requirement Text,Quote,Lore
Lannister,Lannister Guardsmen,,5,Infantry,4,[M]Long Sword,4+,6.5.4,,,,3+,7+,Order: Lannister Supremacy,,SIF001/SIF001/SIF001B/SIF001B/SIF201,10101,2021,,,"The world over knows the extent of Lannister wealth, and its influence extends to even their most basic foot soldiers. The rank-and-file Lannister forces enjoy a battlefield superiority borne of strong armor, heavy metal shields, and the sense of invulnerability that goes with it. Most enemies of House Lannister prove incapable of even making a dent in such stalwart lines."
Lannister,Lannister Halberdiers,,5,Infantry,5,[M]Halberd,4+,7.7.4,,,,4+,6+,"Order: Set for charge /
Halberd",,SIF001/SIF001B/SIF202,10102,2021-S02,,,"While capable of mounting offensive assaults, House Lannister’s Halberdiers excel in defensive formations and positions. Charging enemies should think twice before facing an entrenched Halberdier line. Care should be taken to shield Halberdiers from flanking maneuvers or ranged fire, but, when properly employed, nothing gets past a Halberdier’s deadly blade."
Lannister,House Clegane Mountain's Men,,6,Infantry,5,[M]Marauder’s Blades,4+,7.5.4,,,,4+,6+,"Marauder’s Blades /
Prey On Fear",,SIF001/SIF203,10103,2021-S03,,,"Brutal, savage, merciless, and ferocious, the Mountain’s Men bring the art of warfare to new lows. They accept no quarter. Those that flee are cut down. Those that surrender are run through. The Mountain’s Men excel at striking enemy troops already beleaguered by regular forces, and shattering their will to fight. Care must be taken not to let these ruthless men too far off their leash."
Lannister,Pyromancers,,7,Infantry,5,[RS]Wildfire,3+,7.7.4,[M]Wildfire,3+,7.7.4,6+,5+,"Wildfire /
Horrific Visage",,SIF204,10104,2021-S03,,,"Pyromancers from the Alchemists’ Guild employ House Lannister’s most fearsome and devastating weapon: Wildfire. Known as ‘the substance’, Wildfire is a green-tinted liquid of remarkable destructive potential. Its volatility makes transporting and employing the substance hazardous in and of itself, yet, no unit of mere mortal men can endure its assault. Even the thickest armor is useless against its clinging, pernicious flames."
Lannister,Knights of Casterly Rock,,8,Cavalry,5,[M]Lance,3+,5.4,,,,3+,6+,"Order: Lannister Supremacy /
Cavalry /
Lance",,SIF205,10105,S05,,,"Expensively armed, expensively armored, and trained to perfection, the Knights of Casterly Rock bring unparalleled speed and lethality to the Lion banner. Few enemies are equipped to withstand a charge from these heavily armored juggernauts, and fewer still match their speed. While they can be bogged down in melee against determined infantry, few commanders let them remain so encumbered for long."
Lannister,Lannister Crossbowmen,,6,Infantry,5,[RL]Crossbow,3+,6.6.4,[M]Short Sword,5+,5.4.3,4+,7+,Crossbow,,SIF206,10106,2021-S01,,,"In terms of training, Crossbowmen require far less than their more archaically armed counterparts. Yet, the crossbow itself is more costly to manufacture and maintain, especially in battlefield conditions. With even minimal training, Crossbowmen can fire accurately and pierce thick armor even under the pressure of a direct charge. Though no Lannister commander places their Crossbowmen anywhere near a melee, if it can be helped!"
Lannister,"Gregor Clegane, The Mountain That Rides",Gregor Clegane,4,Cavalry,4,[M]Cleaving Blows,3+,3,,,,2+,4+,"The Mountain That Rides /
Cleaving Blows /
Intimidating Presence",Solo,SIFKS001/SIF215,10107,2021,,“How could one expect to fight such a beast?”,"Ser Gregor Clegane truly towers over ordinary men. Such a massive man requires a mount of similar proportions, though the largest of steeds appear as mere ponies beneath the Mountain That Rides. Units under the Mountain’s command hit like an avalanche, and leave similar destruction in their wake. The Mountain is an utterly merciless opponent, a true weapon of muscle and steel."
Lannister,The Warrior's Sons,,7,Infantry,5,[M]Anointed Blade,3+,7.6.4,,,,4+,5+,Battle Prayer,,SIF207,10108,2021,,,"Whether noble-born or ennobled, the Warrior’s Sons come from knightly backgrounds and devote their expertise in service to the Seven. Armed with shining swords, armored in heavy plate, and fortified by their unshakable faith, the Warrior’s Sons will reliably hold or advance upon any objective. When beset by impossible odds, the Sons are at their best, even when the situation might seem hopelessly desperate."
Lannister,Poor Fellows,,4,Infantry,5,[M]Bludgeon,5+,5.4.4,,,,6+,6+,"Fanatical Zeal /
Zealous Resurgence",,SIF208,10109,2021-S01,,,"While unarmored and wielding naught but improvised or scavenged weapons, only a foolish commander would discount the Poor Fellows on the battlefield. Their vast numbers and unshakable faith in the Seven let the Poor Fellows fight on where units of less-devout men would break and flee. For holding a line or assaulting an impossible defense, the Poor Fellows’ faith will see them through!"
Lannister,Kingsguard,"Jaime Lannister, Barristan Selmy, Mandon Moore, Meryn Trant, Arys Oakheart, Boros Blount, Preston Greenfield",6,Infantry,5,[M]Masterwork Blade,2+,7.7,,,,3+,4+,"Order: Resilience /
Joffrey's Retinue /
Counterstrike / 
Must be attached to 'Joffrey Baratheon, First of His Name'",Rules: 50101,SIF210,10110,S04,"Character: *Can only be fielded in an army including 'Joffrey Baratheon, First of His Name'. Your army may not include Jaime Lannister. Joffrey must be attached to this unit.*",,"As a unit, the Kingsguard are the best-armed, best-armored, and most experienced troops in the War of the Five Kings. Though they suffer from the usual weakness of any heavy infantry if they become surrounded, they are also hobbled with one additional irritant: King Joffrey Baratheon. Still, despite being but seven men, the Kingsguard can successfully assault or defend against three times their number."
