Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10101,Gardisten von Haus Lennister,Langschwert,,,,"Der Reichtum der Lennisters ist weltberühmt, wovon selbst die einfachsten Fußsoldaten des Hauses profitieren. Haus Lennister stattet seine Truppen mit starken Harnischen und schweren Stahlschilden aus, um das Schlachtfeld zu dominieren und ihnen ein Gefühl von Unverwundbarkeit zu vermitteln. Tatsächlich gelingt es den meisten Feinden der Lennisters nicht, eine Bresche in diesen stählernen Wall zu schlagen.",2021
10102,Hellebardiere von Haus Lennister,Hellebarde,,,,"Obwohl sie auch zu Angriffsschlägen in der Lage sind, liegt die wahre Stärke der Hellebardiere von Haus Lennister in ihren Verteidigungsformationen. Heranstürmende Feinde sollten sich gut überlegen, ob sie es mit einer geschlossenen Phalanx von Hellebardieren aufnehmen wollen. Vorsicht ist geboten bei feindlichen Flankenmanövern und Pfeilhageln, doch in der richtigen Position gibt es nichts, was an den tödlichen Klingen der Hellebardiere vorbeikäme.",2021-S02
10103,Gefolgsmänner des Berges von Haus Clegane,Klinge des Marodeurs,,,,"Blutrünstig, brutal und gnadenlos setzen die Gefolgsmänner des Berges neue Maßstäbe, was die Gräuel des Krieges betrifft. Sie kennen keine Gnade. Wer flieht, wird niedergemacht. Wer kapituliert, wird erschlagen. Die Gefolgsmänner des Berges lieben es, bedrängte Feinde auszumerzen und ihren Kampfgeist zu brechen. Vorsicht ist geboten, damit diese skrupellosen Männer nicht völlig außer Rand und Band geraten.",2021-S03
10104,Pyromantiker,Seefeuer,Seefeuer,,,"Die Pyromantiker aus der Gilde der Alchemisten beschäftigen sich mit der fürchterlichsten und verheerendsten Waffe, die dem Haus Lennister zur Verfügung steht: Seefeuer. Bekannt als „die Substanz“ ist Seefeuer eine grünliche Flüssigkeit mit bemerkenswert zerstörerischem Potenzial. Ihre Flüchtigkeit macht den Transport und die Handhabung der Substanz an sich schon Gefährlich. Einen Angriff mit Seefeuer kann kein normaler Sterblicher überstehen. Selbst die dickste Rüstung ist gegen ihre anhaftenden, verderblichen Flammen nutzlos.",2021-S03
10105,Ritter von Casterlystein,Lanze,,,,"Mit ihren teuren Waffen, hochwertigen Rüstungen und ihrer vorzüglichen Ausbildung stellen die Ritter von Casterlystein eine schnelle und tödliche Macht unter dem Löwenbanner dar. Kaum ein Feind vermag einem Ansturm dieser gepanzerten Kolosse standzuhalten und noch wenigere können sich mit der Schnelligkeit ihrer Schlachtrösser messen. Entschlossene Fußtruppen sind in der Lage, sie in ein Handgemenge zu verwickeln, doch in der Regel lassen Feldherren nicht zu, dass ihre Ritter sich lange mit Fußvolk abgeben.",2021-S01
10106,Armbrustschützen von Haus Lennister,Armbrust,Kurzschwert,,,"Die Ausbildung eines Armbrustschützen erfolgt in deutlich kürzerer Zeit als die seines altmodisch bewaffneten Gegenparts. Dafür ist die Armbrust teurer, was Herstellung und Instandhaltung betrifft, vor allem auf dem Schlachtfeld. Selbst mit minimaler Ausbildung gelingt es einem Armbrustschützen, zielsicher zu treffen und dicke Panzerplatten zu durchdringen, sogar wenn er durch einen direkten Ansturm bedroht ist. Trotzdem wird kein Feldherr der Lennisters seine Armbrustschützen in den Nahkampf schicken, wenn es sich irgendwie vermeiden lässt.",2021-S01
10107,"Gregor Clegane, Der reitende Berg",Spalthiebe,,,"„Wer würde schon damit rechnen, gegen so ein Monster kämpfen zu müssen?“","Ser Gregor Clegane überragt gewöhnliche Männer um ein vielfaches. Ein solch massiver Mann benötigt ein Reittier ähnlichen Ausmaßes, obwohl selbst die größten Rösser unter dem reitenden Berg wie Ponys erscheinen. Einheiten, die unter dem Kommando des Bergs stehen, rollen wie Lawinen übers Schlachtfeld und hinterlassen eine Schneise der Zerstörung. Der Berg ist ein gnadenloser Gegner, eine Waffe aus Stahl und Muskeln.",2021
10108,Die Söhne des Kriegers,Geweihte Klinge,,,,"Die geadelten oder aus adligem Hause stammenden Söhne des Kriegers sind mit ritterlicher Kampfkunst vertraut und haben ihr Können in den Dienst der Sieben gestellt. Mit glänzenden Schwertern, schweren Plattenpanzern und ihrem unbeugsamen Glauben ausgerüstet können die Söhne des Kriegers zuverlässig jedem Ansturm standhalten und jede Stellung einnehmen. Am effektivsten sind die Söhne in hoffnungslosen Situationen, wenn die Aussicht auf Erfolg am geringsten erscheint.",2021
10109,Arme Gefährten,Knüppel,,,,"Obwohl sie ungepanzert und nur mit improvisierten Waffen ausgerüstet sind, würde nur ein törichter Heerführer die Armen Gefährten in seinen Schlachtplänen unberücksichtigt lassen. Ihre große Anzahl und ihr unerschütterlicher Glaube an die Sieben lässt die Armen Gefährten auch dort noch weiterkämpfen, wo Einheiten mit schwächerem Glauben schon lange geflohen wären. Ihr Vertrauen in die Götter wird den Armen Gefährten beim Halten einer Stellung oder beim Durchbrechen einer undurchdringlichen Verteidigung helfen!",2021-S01
10110,Königsgarde,Meisterhafte Klinge,,"*Kann nur in einer Armee aufgestellt werden, die Joffrey Baratheon, Erster seines Namens, enthält. Deine Armee darf nicht Jaime Lennister enthalten. Joffrey muss diese Einheit verstärken.*",,"Als Einheit betrachtet ist die Königsgarde die erfahrenste und am besten gerüstete und bewaffnete Truppe im Krieg der Fünf Könige. Wie jede schwere Infanterieeinheit auch sollte sie es vermeiden, von Feinden umzingelt zu werden. Zusätzlich wird sie von einem weiteren Ärgernis behindert: von König Joffrey Baratheon selbst. Obwohl sie nur aus sieben Mann besteht, kann sich die Königsgarde im Angriff und bei der Verteidigung erfolgreich gegen eine dreifache Übermacht behaupten.",2021
