Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10101,Gardes Lannister,Épée Longue,,,,"Les Lannister sont notoirement riches,et l’influence de leur fortune se fait sentir jusque dans les rangs de la piétaille. Leur infanterie bénéficie d’un avantage au combat grâce aux lourdes armures et aux boucliers en acier dont elle est équipée, ce qui lui procure un sentiment d’invincibilité. La plupart des ennemis de la Maison Lannister se révèlent incapables de percer des lignes aussi robustes.",2021
10102,Hallebardiers Lannister,Hallebarde,,,,"Bien qu’ils soient capables de mener des assauts de front, les Hallebardiers Lannister excellent dans les formations et les positions défensives. Un ennemi qui charge une ligne de Hallebardiers retranchés prend un risque considérable. Il faut toutefois savoir les protéger des attaques de flanc ou des tirs ennemis mais, lorsqu’ils sont employés à bon escient, les Hallebardiers peuvent faire des ravages.",2021-S02
10103,Hommes de la Montagne de la Maison Clegane,Lames de Soudard,,,,"Brutaux, sauvages, cruels et féroces, les Hommes de la Montagne sont prêts à toutes les bassesses au combat. Ils ne connaissent aucune pitié. Ceux qui fuient sont massacrés. Ceux qui se rendent sont exécutés. Leur spécialité consiste à attaquer des troupes ennemies déjà engagées et d’écraser toute volonté de résistance. Celui qui les commande devra cependant veiller à garder ces brutes épaisses en laisse.",2021-S03
10104,Pyromanciens,Feu Grégeois,Feu Grégeois,,,"Les Pyromanciens de la Guilde des Alchimistes manient l’arme la plus terrible et la plus dévastatrice de la Maison Lannister : le Feu Grégeois. Appelé également « la substance », le Feu Grégeois est un liquide vert doté d’un énorme potentiel de destruction. Du fait de sa haute volatilité, transporter et utiliser la substance se révèle extrêmement délicat. Cependant, aucune unité constituée d’hommes mortels ne saurait résister à son pouvoir ravageur. Même la plus solide des armures est inutile contre ces flammes collantes et pernicieuses.",2021-S03
10105,Chevaliers de Castral Roc,Lance,,,,"Équipés du matériel le plus coûteux qui soit et entraînés à la perfection, les Chevaliers de Castral Roc offrent à la bannière du Lion une rapidité et une force de frappe inégalées. Rares sont les ennemis suffisamment équipés pour encaisser la charge de ces mastodontes lourdement blindés. Plus rares encore sont ceux qui peuvent espérer surpasser leur vitesse. Face à une infanterie déterminée, un commandant avisé veillera à ce qu’ils ne s’enlisent pas dans la mêlée.",2021-S01
10106,Arbalétriers Lannister,Arbalète,Épée Courte,,,"Les Arbalétriers sont plus faciles à former que leurs homologues plus archaïques. Pourtant, l’arbalète elle-même est plus coûteuse à fabriquer et à entretenir, en particulier sur un champ de bataille. Même avec un entraînement minimal, les Arbalétriers peuvent tirer avec précision et percer une armure lourde, y compris sous la pression d’une charge directe. Toutefois, aucun général Lannister digne de ce nom ne s’aviserait de placer ses Arbalétriers à proximité d’une mêlée !",2021-S01
10107,"Gregor Clegane, La Montagne à Cheval",Équarrissage,,,« Comment espérer vaincre un tel monstre ? ». – Petyr Baelish,"Ser Gregor Clegane est un géant parmi les hommes. Quelqu’un d’aussi colossal se doit d’avoir une monture qui l’est tout autant. Pourtant, même le palefroi le plus imposant fait figure de poney lorsqu’il est chevauché par la Montagne. Les unités placées sous le commandement de Clegane frappent avec la force d’une avalanche, ne laissant que destruction dans leur sillage. La Montagne est une arme vivante, faite de muscles et d’acier, qui ne connaît pas la moindre pitié.",2021
10108,Les Fils du Guerrier,Lame Ointe,,,,"Bien nés ou anoblis, les Fils du Guerrier tous sont issus du milieu de la chevalerie et mettent leur talent au service des Sept. Armés de lames étincelantes, équipés d’armures lourdes et confortés par une foi inébranlable, les Fils du Guerrier peuvent prendre ou tenir n’importe quel objectif. C’est dans l’adversité que les Fils du Guerrier donnent le meilleur d’eux-mêmes, notamment lorsque tout semble définitivement perdu.",2021
10109,Pauvres Hères,Gourdin,,,,"Les Pauvres Hères ne portent pas d’armure et sont équipés d’armes de fortune, pourtant, il faudrait être un général stupide pour ne pas les accepter dans ses rangs. Soutenus par leur nombre et leur foi inébranlable dans les Sept, ils combattent là où des hommes moins pieux tourneraient les talons. Leur fanatisme leur permet de tenir le front envers et contre tout ou de se lancer à l’assaut d’un ennemi apparemment invincible !",2021-S01
10110,Garde Royale,Lame de Maître,,"*Ne peut être recrutée que dans une armée qui comprend 'Joffrey Baratheon, Premier du Nom'. Vous ne pouvez pas inclure Jaime Lannister. Joffrey doit être attaché à cette unité.*",,"De toutes les troupes qui participent à la Guerre de Cinq Rois, la Garde Royale est la mieux équipée et la plus expérimentée. Outre les faiblesses inhérentes à toutes les infanteries lourdes en cas d’encerclement, la Garde doit traîner son propre boulet : le Roi Joffrey Baratheon. Pourtant, même si elle n’est composée que de sept hommes, la Garde Royale est largement capable d’affronter des unités trois fois plus importantes, en attaque comme en défense.",S04
